generation,N_shifts,logPrior,logLik,eventRate,acceptRate
600001,0,-1.10406,-38918.3,0.0114628,0.311
605001,0,-2.13387,-38918.2,1.12785,0.3848
610001,1,1.24349,-38918.4,0.655729,0.4566
615001,0,-1.33851,-38917.5,0.283205,0.3702
620001,1,-2.9207,-38915.6,2.75947,0.4648
625001,0,-1.54159,-38918,0.552305,0.3914
630001,1,-5.72696,-38924.3,3.87612,0.3268
635001,0,-1.15936,-38917.9,0.141164,0.3296
640001,0,-4.21577,-38917.7,3.12158,0.3822
645001,0,-2.23851,-38920,1.22563,0.4054
650001,2,2.59186,-38915.1,3.06198,0.3294
655001,0,-2.24407,-38917.5,1.2242,0.3862
660001,0,-1.27176,-38917.8,0.329213,0.347
665001,1,-0.282454,-38918.2,2.25117,0.4214
670001,0,-1.86465,-38919.7,0.741533,0.3438
675001,0,-3.29314,-38917.8,2.26988,0.3068
680001,1,-1.39351,-38915.1,1.60858,0.303
685001,0,-1.13679,-38917.5,0.0559294,0.3812
690001,0,-2.25527,-38918.5,1.19484,0.3548
695001,0,-1.12848,-38918.4,0.0152696,0.3704
700001,0,-1.49579,-38918,0.434224,0.371
705001,0,-1.13216,-38918,0.0678559,0.3214
710001,0,-1.68962,-38917.9,0.642881,0.2924
715001,0,-2.45629,-38926.4,1.15957,0.3694
720001,0,-1.27837,-38917.6,0.260605,0.3668
725001,1,2.2821,-38918.2,0.0606255,0.3336
730001,0,-4.35201,-38918.8,3.28773,0.3332
735001,2,0.550487,-38919.6,1.55431,0.3646
740001,0,-1.45003,-38919.7,0.403699,0.3382
745001,0,-2.38378,-38918.8,1.43315,0.394
750001,0,-1.63448,-38917.5,0.745363,0.3622
755001,0,-1.89123,-38919.9,0.9712,0.3868
760001,3,1.52695,-38914.2,3.0387,0.4234
765001,0,-1.11395,-38919,0.123942,0.3336
770001,1,-9.02123,-38918.4,3.008,0.414
775001,0,-1.39663,-38917.9,0.438442,0.367
780001,2,1.72604,-38917.4,0.519257,0.3106
785001,1,0.344023,-38919,1.0329,0.3664
790001,0,-2.0277,-38917.8,1.13828,0.4536
795001,0,-1.12609,-38918.2,0.26609,0.4094
800001,1,-0.42379,-38918.2,0.689504,0.3716
805001,0,-1.03306,-38917.7,0.0945523,0.3318
810001,1,0.740683,-38918.7,1.28666,0.3744
815001,0,-1.7624,-38917.7,0.852764,0.3812
820001,0,-3.02171,-38917.6,2.09866,0.3798
825001,2,-1.87044,-38910.6,1.89922,0.4082
830001,2,0.954209,-38916.4,0.873399,0.3504
835001,1,-0.648052,-38919,1.53588,0.4056
840001,0,-1.0749,-38919.7,0.0905957,0.4084
845001,0,-1.07161,-38918,0.227092,0.3754
850001,0,-1.3257,-38918.7,0.451954,0.3826
855001,1,1.06762,-38917.2,0.681528,0.4118
860001,1,1.83514,-38919.3,0.378722,0.4102
865001,2,2.84896,-38926.5,0.939721,0.3748
870001,0,-3.46649,-38918.1,2.61523,0.3152
875001,0,-0.751257,-38919.2,0.000343513,0.376
880001,0,-1.09149,-38918.3,0.314464,0.399
885001,0,-3.09997,-38918.3,2.27831,0.4198
890001,0,-1.53338,-38919.5,0.737016,0.378
895001,0,-1.11039,-38919.5,0.341246,0.3804
900001,1,1.05539,-38919,0.309863,0.411
905001,0,-2.17406,-38918.1,1.375,0.4162
910001,0,-3.03749,-38919.1,2.26385,0.3948
915001,2,3.54641,-38923.8,0.233508,0.3882
920001,1,-2.5201,-38915.4,1.03255,0.3976
925001,0,-0.860169,-38918.5,0.0744,0.4084
930001,0,-1.74787,-38919.2,0.925929,0.3354
935001,0,-1.89417,-38918.4,1.09033,0.4464
940001,0,-1.15635,-38920.8,0.290011,0.3156
945001,0,-1.64295,-38918.5,0.881733,0.418
950001,0,-2.46312,-38918,1.69439,0.3736
955001,0,-1.01052,-38918.1,0.240873,0.4266
960001,1,-1.35287,-38914.3,1.31185,0.4254
965001,0,-0.976136,-38922.2,0.0720418,0.3674
970001,2,3.39647,-38920.9,1.63802,0.343
975001,0,-1.14018,-38918.3,0.292098,0.359
980001,1,0.885245,-38917.5,0.308596,0.3968
985001,1,0.262653,-38923.3,1.27212,0.3474
990001,0,-1.73169,-38917.9,0.970591,0.4412
995001,0,-5.31928,-38920.4,4.5535,0.3654
1000001,0,-2.53621,-38917.9,1.75396,0.4304
1005001,1,1.07295,-38918.1,0.741266,0.3496
1010001,0,-0.837945,-38917.9,0.0480939,0.4252
1015001,0,-1.76398,-38918.3,0.974112,0.362
1020001,0,-1.54921,-38918.9,0.717337,0.392
