generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
100001,28551,31912,23.6316,0.000974208,-2.35557e-05,0.000642061,0
100001,19499,28795,15.6185,0.000282567,4.20642e-06,0.000221746,0
100001,30165,32348,1450.39,0.00122428,-4.228e-05,0.000530159,0
100001,31848,33789,1.8849,0.000448218,1.04072e-06,0.000403716,0
105001,28551,31848,0,0.000130432,0.385428,0.000184902,0
105001,28551,31912,23.3947,0.00101024,-2.35557e-05,0.000640442,0
105001,19499,28795,15.6185,0.00031043,4.20642e-06,0.000194909,0
105001,30165,25294,1740.56,0.00122428,-4.228e-05,0.000535926,0
105001,31848,33789,8.57885,0.000375017,1.04072e-06,0.000334449,0
110001,28551,31848,0,0.000312485,0.135345,0.000200619,0
110001,28551,31912,42.5631,0.000991171,-2.35557e-05,0.000600261,0
110001,19499,28795,29.6506,0.000514608,4.20642e-06,0.000483651,0
110001,30165,31194,1658.92,0.0011927,-4.228e-05,0.000519926,0
110001,31848,33789,8.22448,0.000395309,1.04072e-06,0.000330988,0
115001,28551,31848,0,0.000145193,0.197648,0.000293263,0
115001,28551,31912,21.66,0.00076204,-2.35557e-05,0.000510169,0
115001,19499,28795,21.9669,0.00071009,4.20642e-06,0.000773216,0
115001,30165,32348,1517.79,0.00118103,-4.228e-05,0.000505338,0
115001,31848,33789,8.22448,0.000500775,1.04072e-06,0.000442981,0
120001,28551,31848,0,8.66281e-05,0.225491,0.00105233,0
120001,28551,31912,41.6523,0.000908025,-2.35557e-05,0.000602462,0
120001,19499,28795,31.1074,0.000475651,4.20642e-06,0.00043601,0
120001,30165,32348,1478.2,0.00117787,-4.228e-05,0.00050029,0
120001,31848,33789,1.61725,0.000511468,1.04072e-06,0.000471148,0
125001,28551,31848,0,0.000205957,0.209558,0.000426197,0
125001,28551,31912,23.6938,0.000840521,-2.35557e-05,0.000562267,0
125001,19499,28795,36.8916,0.000369994,4.20642e-06,0.000425541,0
125001,30165,27271,1011.72,0.00116406,-4.228e-05,0.000491928,0
125001,31848,33789,0.974479,0.000600045,1.04072e-06,0.000548299,0
130001,28551,31848,0,0.000234219,0.311603,0.000239304,0
130001,28551,31912,21.6006,0.000982655,-2.35557e-05,0.000648887,0
130001,19499,28795,24.558,0.000210497,1.51186e-05,0.000215521,0
130001,30165,27271,1328.64,0.00115178,-4.228e-05,0.000492229,0
130001,31848,33789,0.974479,0.000646879,1.04072e-06,0.000627214,0
135001,28551,31848,0,0.000676118,0.311061,0.000273746,0
135001,28551,31912,22.2653,0.00102249,-2.35557e-05,0.000659648,0
135001,19499,28795,21.6288,0.000392335,1.51186e-05,0.000479216,0
135001,28439,33723,24982.1,0.000159683,2.74719e-05,0.000243062,0
135001,30165,27271,1192.38,0.00115178,-4.228e-05,0.000490062,0
135001,31848,33789,1.18638,0.000633217,1.04072e-06,0.000619408,0
140001,28551,31848,0,2.58835e-06,0.483213,0.000501457,0
140001,28551,31912,23.8562,0.00102799,-2.35557e-05,0.000664042,0
140001,19499,28795,23.9018,0.000153329,1.51186e-05,8.02062e-05,0
140001,30165,32348,1448.44,0.00111429,-4.228e-05,0.000473585,0
140001,31848,33789,6.64503,0.000473903,1.04072e-06,0.000409897,0
145001,28551,31848,0,0.000299956,0.0873259,0.00012985,0
145001,28551,31912,16.5008,0.00100194,-2.35557e-05,0.000639189,0
145001,19499,28795,24.1607,0.000182802,1.51186e-05,0.000119816,0
145001,30165,32348,1440.73,0.00110274,-4.228e-05,0.000466031,0
145001,31848,33789,4.05498,0.000403326,1.04072e-06,0.000327626,0
150001,28551,31848,0,0.000389578,0.411969,4.05915e-05,0
150001,28551,31912,15.8879,0.00100796,-2.35557e-05,0.000655919,0
150001,19499,28795,18.0487,0.000280732,1.51186e-05,0.000382164,0
150001,30165,32348,1494.7,0.00109294,-4.228e-05,0.000466031,0
150001,31848,33789,8.76142,0.000439551,1.04072e-06,0.000407511,0
155001,28551,31848,0,0.000804332,0.408196,0.000268478,0
155001,28551,31912,15.8879,0.000961574,-2.35557e-05,0.000607361,0
155001,19499,28795,18.0487,0.0002976,1.51186e-05,0.000264802,0
155001,30165,25294,2066.18,0.0011006,-4.228e-05,0.000482124,0
155001,31848,33789,4.76793,0.0004267,1.04072e-06,0.000384412,0
160001,28551,31848,0,0.000133156,0.485676,6.10749e-05,0
160001,28551,31912,15.8879,0.000999827,-2.35557e-05,0.000672341,0
160001,19499,28795,15.5946,0.00013161,1.51186e-05,7.7923e-05,0
160001,30165,25294,2509.78,0.00106363,-4.228e-05,0.00046831,0
160001,31848,33789,4.76793,0.000482965,1.04072e-06,0.000419283,0
165001,28551,31848,0,8.9542e-05,0.520693,0.000316493,0
165001,28551,31912,15.8879,0.00101728,-2.35557e-05,0.000650132,0
165001,19499,28795,15.5946,0.000275219,1.51186e-05,0.000224437,0
165001,32804,NA,26687.1,0.000610442,3.23764e-05,0.00204133,0
165001,30165,25294,2371.36,0.00106624,-4.228e-05,0.000466209,0
165001,31848,33789,1.33918,0.000490529,1.04072e-06,0.000450292,0
170001,28551,31848,0,0.000259627,0.398579,0.000311628,0
170001,28551,31912,15.8879,0.000998759,-2.35557e-05,0.000650187,0
170001,19499,28795,15.5946,0.000166897,1.51186e-05,1.60157e-05,0
170001,30165,25294,2054.92,0.00106624,-4.228e-05,0.000469393,0
170001,31848,33789,7.53406,0.000498659,1.04072e-06,0.000449509,0
175001,28551,31848,0,0.000151359,0.483886,3.30264e-05,0
175001,28551,31912,15.6213,0.00084955,-2.35557e-05,0.00054977,0
175001,19499,28795,15.5946,0.000182728,1.51186e-05,0.000151948,0
175001,30165,25294,2480.03,0.00106624,-4.228e-05,0.000480064,0
175001,31848,33789,8.68899,0.000414746,1.04072e-06,0.000392291,0
180001,28551,31848,0,0.000127108,0.530234,3.62197e-05,0
180001,28551,31912,15.6213,0.000712606,-2.35557e-05,0.000461526,0
180001,19499,28795,15.5946,0.000191725,1.51186e-05,6.79656e-05,0
180001,30165,25294,2435.97,0.00104312,-4.228e-05,0.000459121,0
180001,31848,33789,3.65679,0.000400419,1.04072e-06,0.000361368,0
185001,28551,31848,0,0.000148211,0.534998,0.000256716,0
185001,28551,31912,15.6213,0.000818022,-2.35557e-05,0.000543551,0
185001,19499,28795,15.5946,0.000320641,1.51186e-05,0.000355514,0
185001,30165,25294,2143.68,0.00105793,-4.228e-05,0.00045747,0
185001,31848,33789,8.27823,0.000388144,1.04072e-06,0.000324946,0
190001,28551,31848,0,0.000143247,0.562594,0.000526261,0
190001,28551,31912,15.6213,0.000721261,-2.35557e-05,0.000456662,0
190001,19499,28795,15.5946,0.000180982,1.51186e-05,8.3686e-05,0
190001,30165,25294,2240.87,0.00105793,-4.228e-05,0.000465478,0
190001,31848,33789,8.27823,0.000423977,1.04072e-06,0.000369002,0
195001,28551,31848,0,0.000461594,0.338219,0.000216779,0
195001,28551,31912,15.6213,0.000695133,-2.35557e-05,0.000444278,0
195001,19499,28795,16.4278,0.000230062,1.51186e-05,0.000211953,0
195001,30165,31194,1595.65,0.00104679,-4.228e-05,0.000438836,0
195001,31848,33789,8.27823,0.000414982,1.04072e-06,0.000361792,0
200001,28551,31848,0,0.000528127,0.390936,0.00029886,0
200001,28551,31912,15.6213,0.000728638,-2.35557e-05,0.000464151,0
200001,19499,28795,15.1973,0.000185184,1.51186e-05,0.000191497,0
200001,30128,23940,12845.8,0.00120478,-4.19295e-05,0.000848325,0
200001,30165,31194,1668.3,0.001041,-4.228e-05,0.000441871,0
200001,31848,33789,4.45446,0.000427276,1.04072e-06,0.000367994,0
205001,28551,31848,0,0.000713079,0.481173,9.77734e-05,0
205001,28551,31912,15.6213,0.000822246,-2.35557e-05,0.000542915,0
205001,19499,28795,15.1973,0.000214218,1.51186e-05,0.000184823,0
205001,12403,NA,16178.6,0.00165344,-4.91375e-05,0.00130792,0
205001,30165,32348,1447.62,0.00104578,-4.228e-05,0.000437907,0
205001,31848,33789,7.02341,0.000481977,1.04072e-06,0.000449038,0
210001,28551,31848,0,0.000123228,0.427446,0.000267896,0
210001,28551,31912,15.6213,0.00088645,-2.35557e-05,0.000564898,0
210001,19499,28795,20.6822,0.000292524,1.51186e-05,0.000253719,0
210001,30165,25294,1871.86,0.00102966,-4.228e-05,0.000437907,0
210001,31848,33789,7.02341,0.000453828,1.04072e-06,0.000412441,0
215001,28551,31848,0,0.0004858,0.376668,0.000501566,0
215001,28551,31912,18.5284,0.00086914,-2.35557e-05,0.000557695,0
215001,19499,28795,20.6822,0.000328404,1.51186e-05,0.000448695,0
215001,28435,NA,25736,5.53458e-05,0.000700394,0.00121227,0
215001,30165,25294,1819.5,0.00103678,-4.228e-05,0.000443653,0
215001,31848,33789,0.0918744,0.000396231,1.04072e-06,0.000344296,0
220001,28551,31848,0,0.000282056,0.353543,3.07949e-05,0
220001,28551,31912,18.5284,0.000700916,-2.35557e-05,0.000461389,0
220001,19499,28795,20.0766,0.00020129,1.51186e-05,0.000169919,0
220001,30165,31194,1619.53,0.00102323,-4.228e-05,0.000442684,0
220001,33084,NA,27867.6,0.000635931,-2.13917e-05,0.00077094,0
220001,31848,33789,4.53325,0.000473517,1.04072e-06,0.00043263,0
225001,28551,31848,0,4.98132e-05,0.424922,0.00027788,0
225001,28551,31912,18.0117,0.000900981,-2.35557e-05,0.000548209,0
225001,19499,28795,20.0766,0.000174091,1.51186e-05,0.000227424,0
225001,30165,25294,2457.05,0.00101409,-4.228e-05,0.000440015,0
225001,31848,33789,1.30187,0.000451022,1.04072e-06,0.000388665,0
230001,28551,31848,0,0.000458635,0.159578,0.000147819,0
230001,28551,31912,37.5758,0.000903737,-2.35557e-05,0.000612884,0
230001,19499,28795,22.7609,0.00018528,1.51186e-05,0.000144808,0
230001,30165,25294,2930.96,0.00103886,-4.228e-05,0.000465937,0
230001,31848,33789,9.20166,0.00040716,1.04072e-06,0.000344333,0
235001,28551,31848,0,0.00135934,0.198078,0.000551077,0
235001,28551,31912,16.1313,0.000984384,-2.35557e-05,0.000606366,0
235001,19499,28795,28.0599,0.000289965,1.51186e-05,0.00032517,0
235001,30165,25294,2561.77,0.0010136,-4.228e-05,0.000453574,0
235001,31848,33789,5.66254,0.000427911,1.04072e-06,0.000365908,0
240001,28551,31848,0,0.000216406,0.346173,0.000167471,0
240001,28551,31912,16.1313,0.00113624,-2.35557e-05,0.000738474,0
240001,19499,28795,18.9952,0.000214271,1.51186e-05,0.00015212,0
240001,28643,NA,24577.9,0.000139245,2.05046e-05,0.000838111,0
240001,30165,25294,2874.8,0.00103098,-4.228e-05,0.000453574,0
240001,31848,33789,9.38895,0.000407005,1.04072e-06,0.00031237,0
245001,28551,31848,0,0.000204463,0.518465,0.000127141,0
245001,28551,31912,16.1313,0.00122561,-2.35557e-05,0.000794221,0
245001,19499,28795,17.2043,0.000408533,1.51186e-05,0.000446004,0
245001,30165,32348,1489.86,0.00105648,-4.228e-05,0.000444268,0
245001,31848,33789,5.51099,0.000466453,1.04072e-06,0.000423776,0
250001,28551,31848,0,0.000387446,0.264173,0.000314803,0
250001,28551,31912,18.1542,0.00124818,-2.35557e-05,0.000812872,0
250001,19499,28795,26.8128,0.000227668,1.51186e-05,0.000229847,0
250001,30165,25294,2601.18,0.00103034,-4.228e-05,0.000458967,0
250001,31848,33789,5.51099,0.000465419,1.04072e-06,0.000398641,0
255001,28551,31848,0,0.000198686,0.448443,0.000197232,0
255001,28551,31912,16.8069,0.00122879,-2.35557e-05,0.000815095,0
255001,19499,28795,18.7856,0.000292425,1.51186e-05,0.000335864,0
255001,30165,25294,2690.56,0.00103034,-4.228e-05,0.00045879,0
255001,31848,33789,0.321987,0.000482673,1.04072e-06,0.00043823,0
260001,28551,31848,0,2.90445e-05,0.442008,0.000103953,0
260001,28551,31912,16.8069,0.00116027,-2.35557e-05,0.000765611,0
260001,19499,28795,17.1761,0.000129914,1.51186e-05,5.80523e-05,0
260001,33338,NA,22974.7,0.00105746,-0.00537344,0.000249939,0
260001,30165,31194,1619.74,0.00103816,-4.228e-05,0.000449787,0
260001,31848,33789,0.321987,0.000431536,1.04072e-06,0.00036575,0
265001,28551,31848,0,7.87166e-05,0.47998,0.000123421,0
