generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1,0,-149.508,-509102,1,0
5001,37,292.965,-96806.7,1.54506,0.378
10001,58,592.982,-91431.4,1.15441,0.352
15001,78,879.375,-86351.8,2.18966,0.3578
20001,86,972.297,-82747.7,0.712576,0.3356
25001,102,1190.24,-77896.4,0.219016,0.3334
30001,122,1456.93,-74336.2,3.25155,0.3464
35001,140,1683.7,-68560.8,0.157296,0.3352
40001,159,1948.77,-65891.1,1.09301,0.3164
45001,166,2084.56,-63376.5,0.160936,0.313
50001,173,2188.65,-61927.3,0.73258,0.3176
55001,183,2310.86,-59659.2,1.51099,0.3234
60001,190,2400.28,-58351.3,1.93357,0.3306
65001,200,2541.98,-57110.8,0.146892,0.3264
70001,211,2708.62,-55509,0.11217,0.32
75001,218,2812.44,-52882.1,1.08996,0.3268
80001,224,2897.64,-51653.1,0.246145,0.3176
85001,230,2983.55,-50602.7,0.631149,0.3186
90001,236,3051.04,-49482.8,2.73686,0.3208
95001,243,3143.99,-48684.3,0.697943,0.3186
100001,250,3258.24,-47439.2,0.706768,0.3352
105001,253,3304.61,-45955.8,3.12502,0.328
110001,255,3336.92,-44793,1.80227,0.3376
115001,259,3405.89,-43931.7,0.763895,0.3288
120001,265,3488.85,-42999.9,0.474005,0.3326
125001,271,3560.18,-42382.8,5.72702,0.313
130001,276,3620.09,-41510.2,1.40708,0.3274
135001,285,3755.12,-40328.7,0.330854,0.322
140001,285,3760.39,-39731.6,0.124752,0.3312
145001,288,3750.11,-38877.3,3.02419,0.3196
150001,290,3782.23,-38559.4,0.0231381,0.3292
155001,295,3878.28,-38016.5,1.3036,0.3162
160001,293,3829.39,-37536.3,1.36602,0.3224
165001,293,3840.31,-37225.2,0.234175,0.331
170001,296,3876.55,-36672.9,0.571071,0.3174
175001,297,3897.75,-36362.3,0.886478,0.3078
180001,299,3927.68,-36207.5,0.261909,0.3132
185001,301,3947.18,-35994.6,0.598727,0.3042
190001,302,3968.36,-35837.5,2.02226,0.3074
195001,301,3946.72,-35728.1,0.0965438,0.3106
200001,305,3987.87,-35468.5,0.680617,0.3148
205001,307,4010.29,-35187,0.139581,0.3058
210001,310,4052.83,-34952,0.37101,0.299
215001,311,4064.52,-34762.1,0.486022,0.308
220001,314,4106.3,-34490.5,0.294823,0.3106
225001,319,4172.91,-34100.7,0.135422,0.3126
230001,320,4197.23,-33891.9,0.504501,0.3068
235001,323,4248.99,-33638.2,0.0298476,0.32
240001,323,4249.69,-33459.7,0.445362,0.305
245001,324,4265.35,-33298.9,0.670712,0.3036
250001,323,4236.72,-33252.1,0.669733,0.3062
255001,326,4287.3,-33027.4,0.165598,0.3146
260001,325,4279.58,-32828.5,2.15214,0.3072
265001,326,4300.5,-32662.2,0.104479,0.3024
270001,325,4265.59,-32445.6,1.01167,0.307
275001,325,4265.55,-32246.4,1.6856,0.307
280001,324,4240.36,-32139.9,0.774358,0.3018
285001,323,4237.38,-32059.3,0.431104,0.3056
290001,322,4233.03,-31984.2,1.17624,0.2978
295001,323,4240.24,-31873.8,1.90782,0.3036
300001,325,4254.52,-31732.3,2.62289,0.3054
305001,325,4255.42,-31710.6,1.60369,0.302
310001,325,4262.91,-31680.1,0.458218,0.298
315001,324,4238.52,-31653.5,0.126866,0.2886
320001,325,4261.93,-31582,3.56168,0.3038
325001,326,4269.89,-31441.1,2.29946,0.2906
330001,327,4287.41,-31272.4,0.929652,0.2942
335001,328,4308.56,-31274.6,0.598723,0.3034
340001,329,4323.91,-31249.9,0.222861,0.3132
345001,329,4330.75,-31228.3,0.985689,0.3
350001,329,4342.68,-31169.8,1.83561,0.3108
355001,329,4334.84,-31099.6,0.0503731,0.312
360001,329,4344.33,-31087,0.534178,0.2986
365001,329,4334.94,-31068.6,1.18494,0.3032
370001,329,4348.01,-31007.1,0.149747,0.2904
375001,331,4385.93,-30919.8,0.454483,0.311
380001,330,4368.49,-30910.9,0.236458,0.3018
385001,329,4354.95,-30881.5,0.675505,0.3166
390001,330,4372.72,-30852.2,0.338202,0.3028
395001,330,4369.94,-30845.1,0.541067,0.3076
400001,330,4378.08,-30846.2,2.07935,0.2996
405001,330,4391.96,-30796.4,0.148814,0.2948
410001,330,4387.51,-30803.8,0.529937,0.312
415001,331,4401.16,-30800,0.00128062,0.3064
420001,331,4399.21,-30776.6,0.113628,0.3082
425001,333,4420.1,-30744.3,0.454339,0.3092
430001,333,4426.17,-30671.6,1.00252,0.3074
435001,334,4447.98,-30645.3,0.755548,0.2952
440001,334,4442.2,-30651.9,1.74741,0.3124
445001,332,4417.78,-30594.6,0.693433,0.303
450001,334,4454.83,-30497.8,0.785633,0.3218
455001,334,4455.35,-30508.5,0.375648,0.3072
460001,332,4422.98,-30498.2,0.24107,0.305
465001,331,4411.42,-30447.6,0.048113,0.3118
470001,331,4406.66,-30435.8,1.12972,0.3118
475001,331,4403.46,-30439.8,0.406549,0.303
480001,331,4395.49,-30458.5,0.0985103,0.3152
485001,331,4397.34,-30418.3,1.32027,0.3034
490001,331,4414.39,-30337.4,1.33326,0.318
495001,331,4416.49,-30323.7,0.759768,0.3104
500001,331,4403.87,-30295.8,1.89817,0.3088
505001,331,4406.94,-30312.9,3.03687,0.3038
510001,330,4403.49,-30283.4,0.637843,0.311
515001,330,4389.71,-30310.1,0.940338,0.3144
520001,330,4393.3,-30292.4,0.197412,0.3218
525001,330,4402.38,-30280.3,1.11125,0.3062
530001,328,4377.44,-30236.2,1.27285,0.3126
535001,328,4361.45,-30189.6,0.0807762,0.3132
540001,326,4342.81,-30096.1,0.454066,0.3146
545001,326,4324.39,-30087.9,0.53085,0.3036
550001,328,4363.76,-30057.9,0.289467,0.3108
555001,329,4365.79,-30043.6,0.959003,0.3068
560001,329,4394.15,-30054.3,1.65315,0.3078
565001,329,4397.15,-30056.3,2.15918,0.3046
570001,329,4392.97,-30062.7,3.04326,0.3156
575001,328,4386.19,-30078.8,0.199601,0.3184
580001,327,4380.09,-30076.4,0.457743,0.3118
585001,327,4370.46,-30046.7,1.90925,0.3272
590001,327,4368.07,-30019.7,1.49033,0.3012
595001,326,4349.8,-29998.6,0.379521,0.3108
600001,328,4383.27,-29971.5,1.2424,0.3082
605001,327,4373.76,-29996.1,0.597413,0.2956
610001,327,4378.29,-29990.1,0.786201,0.314
615001,327,4351.51,-29981.2,0.671663,0.2994
620001,329,4385.63,-29903.5,0.115338,0.3132
625001,329,4385.97,-29908.5,0.569416,0.3214
630001,329,4398.55,-29951.5,1.1872,0.3022
635001,327,4376.73,-29932.4,0.136951,0.3176
640001,329,4406.57,-29887.2,1.13404,0.3028
645001,327,4374.77,-29900.5,0.528144,0.3112
650001,327,4378.72,-29848.6,1.6991,0.3006
655001,327,4396.42,-29866.4,0.0436587,0.3072
660001,329,4420.59,-29818,1.17567,0.3128
665001,329,4420.12,-29842.3,2.48337,0.3112
670001,328,4418.6,-29828.1,0.00920541,0.3298
675001,327,4400.73,-29803.7,0.362533,0.3098
680001,327,4410.24,-29769.6,0.414942,0.3108
685001,326,4381.18,-29744.4,2.62402,0.3046
690001,325,4357.31,-29714.8,0.542246,0.3134
695001,324,4354.51,-29723.6,0.641783,0.3184
700001,324,4340.97,-29727.7,0.893852,0.3122
705001,325,4361.7,-29651.4,0.179425,0.3076
710001,325,4377.2,-29605.6,1.46089,0.3258
715001,325,4368.52,-29519.3,2.09011,0.3158
720001,326,4400.46,-29476,0.158153,0.3166
725001,324,4377.05,-29490.3,0.805525,0.3292
730001,323,4349.43,-29439.3,1.54336,0.3136
735001,322,4329.03,-29413.8,1.91709,0.307
740001,322,4315.26,-29387.1,1.56826,0.312
745001,322,4324.17,-29377,2.38295,0.3058
750001,322,4320.85,-29358.7,0.173593,0.317
755001,322,4335.82,-29264.5,0.774223,0.3122
760001,321,4313.46,-29257.4,0.177058,0.3264
765001,321,4330.19,-29252,0.693608,0.3038
770001,320,4311.93,-29244.8,0.548191,0.3098
775001,321,4329.63,-29185.6,2.50173,0.3062
780001,320,4325.04,-29157.5,0.400499,0.3044
785001,319,4296.32,-29169,0.799913,0.322
790001,319,4301.83,-29165,0.933208,0.3058
795001,318,4278.05,-29173.3,0.093254,0.3068
800001,318,4298.02,-29136.6,1.33436,0.3044
805001,318,4297.61,-29129.4,0.158284,0.3072
810001,320,4340.54,-29138.6,0.468451,0.3078
815001,319,4319.3,-29098.2,0.35532,0.3264
820001,320,4329.5,-29079.3,1.16199,0.3054
825001,321,4346.34,-29038.1,0.17788,0.3064
830001,322,4360.36,-28994.7,0.271299,0.3044
835001,320,4337.08,-29002.9,0.742951,0.3104
840001,320,4323.16,-29011.6,1.79055,0.2948
845001,320,4326.88,-28961.2,0.0722004,0.3244
850001,319,4302.07,-28945.4,2.20485,0.3194
855001,320,4326.8,-28923.4,0.0394592,0.3246
860001,318,4291.58,-28942.4,0.140721,0.323
865001,315,4245.57,-28881.9,0.507032,0.3336
870001,315,4249.56,-28909.3,0.368875,0.317
875001,314,4223.58,-28873.4,0.041457,0.3108
880001,313,4210.67,-28866.1,0.00550452,0.3182
885001,312,4210.8,-28865.9,0.420481,0.3182
890001,312,4199.14,-28873.7,0.0475155,0.3236
895001,312,4195.35,-28827.9,0.55849,0.3104
900001,312,4197.51,-28852.6,0.981048,0.315
905001,312,4191.42,-28845.3,1.85105,0.319
910001,311,4192.36,-28825.7,1.35546,0.3184
915001,310,4176.2,-28781.2,0.169088,0.322
920001,310,4183.13,-28787.1,0.151959,0.316
925001,310,4177.94,-28768,0.0707924,0.3144
930001,309,4163.05,-28775.6,1.55521,0.3268
935001,309,4151.29,-28777.7,0.815463,0.3202
940001,309,4154.59,-28765.5,0.00376763,0.3226
945001,308,4150.27,-28731.3,1.16449,0.3292
950001,308,4159.08,-28731.2,0.54238,0.3186
955001,308,4154.45,-28728.4,1.75585,0.3224
960001,307,4143.95,-28737.3,0.0706747,0.314
965001,307,4137.49,-28738.2,3.79848,0.3218
970001,306,4131.82,-28728.3,1.4633,0.3322
975001,305,4123.35,-28705.1,1.10387,0.322
980001,305,4132.32,-28717.3,0.251725,0.3246
985001,304,4116.29,-28744.3,0.109305,0.3124
990001,304,4107.74,-28708.6,1.09838,0.3122
995001,302,4070.17,-28707.4,0.783883,0.3156
1000001,302,4071.38,-28683.9,1.71873,0.3234
1005001,302,4081.64,-28676.7,2.08626,0.3196
1010001,302,4088.14,-28674.5,1.98106,0.3158
1015001,302,4083.79,-28693.2,0.0767633,0.3226
1020001,302,4082.63,-28670.7,4.08771,0.3252
1025001,302,4083.42,-28662.4,0.847112,0.3084
1030001,302,4069.89,-28680.2,0.0356983,0.3134
1035001,301,4062.8,-28700.1,0.215187,0.3234
1040001,300,4049.62,-28685.7,1.11549,0.3208
1045001,299,4031.36,-28679,0.595344,0.326
1050001,298,4003.49,-28663.5,4.18097,0.3234
1055001,298,4018.92,-28663.1,0.256613,0.3208
1060001,296,3991.52,-28668.6,0.0114374,0.3144
1065001,297,4004.13,-28632.6,0.222515,0.312
1070001,296,3996.04,-28645,0.304048,0.3154
1075001,295,3985.39,-28645.1,2.24193,0.3154
1080001,295,3978.3,-28647.2,2.23736,0.3232
1085001,295,3982.28,-28612.8,0.551921,0.3192
1090001,294,3960.83,-28622.7,0.372296,0.31
1095001,293,3945.59,-28625.6,0.494926,0.3132
1100001,294,3962.97,-28583.8,3.2205,0.3178
1105001,294,3954.48,-28627.1,1.76112,0.317
1110001,294,3966.28,-28611.7,0.694491,0.3162
1115001,296,3999.03,-28593,1.48627,0.3128
1120001,296,3998.64,-28600.1,0.510149,0.3186
1125001,295,3971.35,-28554.5,0.416458,0.3232
1130001,295,3965.21,-28528.7,0.129607,0.3146
1135001,295,3968.06,-28548.3,0.201496,0.3138
1140001,295,3960.26,-28540,0.957017,0.3152
1145001,295,3965.19,-28508.1,0.720304,0.3104
1150001,295,3967.3,-28515.6,1.03346,0.3254
1155001,295,3967.16,-28514,0.426776,0.3118
1160001,295,3959.26,-28507.8,0.124792,0.3094
1165001,294,3950.51,-28400.4,0.593521,0.3228
1170001,294,3942,-28394.9,1.07913,0.3146
1175001,293,3937.07,-28379.6,0.129844,0.3132
1180001,291,3894.79,-28373.5,2.28012,0.3184
1185001,291,3907.42,-28376.4,0.363125,0.311
1190001,290,3901.09,-28384.8,2.02153,0.3228
1195001,290,3909.34,-28362.9,0.865376,0.3054
1200001,290,3914.16,-28368.9,1.55132,0.3062
1205001,290,3917.31,-28399.3,0.178282,0.3254
1210001,290,3904.92,-28337,2.37759,0.3166
1215001,290,3909.67,-28330.4,0.206972,0.3072
1220001,289,3904.11,-28346.2,1.01217,0.3282
1225001,289,3904.78,-28327.1,1.54029,0.3218
1230001,288,3900.83,-28306.2,0.0376641,0.3102
1235001,287,3874.38,-28277.1,0.0218703,0.3104
1240001,287,3876.37,-28323.1,0.303878,0.3184
1245001,287,3885.08,-28295.1,1.10959,0.3078
1250001,286,3864.88,-28278.5,0.239679,0.3104
1255001,286,3873.81,-28268.1,0.489991,0.3184
1260001,287,3896.07,-28269.5,0.20803,0.3182
1265001,286,3877.6,-28263.3,1.19365,0.3152
1270001,286,3876.31,-28260.7,2.10896,0.3166
1275001,286,3878.52,-28245.5,0.130456,0.3134
1280001,286,3878.71,-28277,1.62278,0.3116
1285001,285,3852.65,-28283.7,0.668456,0.3132
1290001,286,3887.12,-28245.9,0.0669916,0.3222
1295001,286,3885.3,-28214.6,1.142,0.3226
1300001,286,3881.89,-28256.1,4.37825,0.3138
1305001,286,3885.68,-28238,2.13182,0.3164
1310001,286,3871.61,-28253.9,0.508765,0.3282
1315001,285,3866.11,-28240.7,1.24592,0.3252
1320001,285,3861.54,-28218.8,0.617287,0.328
