generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1,0,-1.63198,-39982.9,1,0
5001,0,-1.80211,-38920.3,0.824728,0.3794
10001,2,2.37354,-38909.9,0.149943,0.4406
15001,1,0.930089,-38918,0.224068,0.3918
20001,3,2.92554,-38915,2.42826,0.4378
25001,0,-1.15069,-38918.6,0.165456,0.3864
30001,0,-2.96868,-38920.5,1.86963,0.3352
35001,1,-1.91248,-38917.7,3.28887,0.3512
40001,1,-0.352628,-38917.7,1.13176,0.3958
45001,0,-1.32815,-38918.7,0.370459,0.3786
50001,0,-1.01632,-38918.7,0.0489501,0.3342
55001,0,-4.29301,-38918.2,3.24758,0.3204
60001,0,-2.68403,-38917.7,1.6993,0.3594
65001,0,-2.75553,-38920.9,1.62433,0.376
70001,1,1.29182,-38915,0.127939,0.3358
75001,0,-3.76285,-38918.1,2.83381,0.3298
80001,2,1.73736,-38915.3,0.275977,0.3876
85001,0,-1.4873,-38917.8,0.501183,0.3842
90001,2,1.72284,-38911.5,0.574947,0.3892
95001,1,-0.554258,-38914.8,0.614293,0.303
100001,1,-1.47191,-38918.1,0.255833,0.3748
105001,1,-3.19675,-38918.5,3.66569,0.3922
110001,0,-1.43343,-38917.8,0.497008,0.3318
115001,1,-0.182561,-38918.9,0.861503,0.3884
120001,1,0.868507,-38915.6,1.15923,0.3266
125001,1,0.0716718,-38911.7,0.981625,0.4626
130001,0,-1.36809,-38917.7,0.373287,0.4824
135001,0,-2.56017,-38917.7,1.59649,0.3962
140001,0,-3.17343,-38917.8,2.1664,0.3608
145001,0,-1.35475,-38917.8,0.419454,0.292
150001,0,-1.74533,-38919.2,0.763541,0.3012
155001,0,-1.52117,-38917.5,0.54745,0.3476
160001,0,-1.48083,-38918,0.522403,0.3674
165001,0,-1.27501,-38918.2,0.354475,0.3932
170001,0,-2.356,-38918,1.31849,0.2854
175001,0,-2.15613,-38917.6,1.21212,0.3066
180001,2,2.65891,-38919,1.05083,0.4002
185001,1,1.70178,-38915.8,0.252265,0.3386
190001,0,-1.50653,-38917.7,0.566536,0.4822
195001,0,-1.25862,-38918.1,0.229637,0.2904
200001,0,-1.49072,-38918.5,0.441471,0.388
205001,0,-3.81191,-38917.5,2.8628,0.3148
210001,0,-1.34312,-38917.6,0.381388,0.3722
215001,0,-2.97743,-38918.7,1.96492,0.3882
220001,0,-1.10659,-38918.9,0.0251014,0.3798
225001,0,-0.892967,-38919.9,0.0122908,0.3114
230001,0,-1.34365,-38917.9,0.387248,0.3688
235001,0,-1.25336,-38917.8,0.330086,0.427
240001,1,-1.17265,-38917.9,1.44911,0.3636
245001,2,0.267885,-38916.3,1.78477,0.2818
250001,0,-0.976286,-38918.3,0.0627869,0.338
255001,0,-0.981864,-38917.7,0.0359726,0.3234
260001,0,-1.49058,-38918.3,0.516078,0.3852
265001,0,-1.51199,-38918.8,0.51792,0.3436
270001,2,2.05212,-38917.2,0.451339,0.3722
275001,2,0.880712,-38911.8,1.0008,0.4272
280001,1,2.01125,-38917.3,0.166504,0.4272
285001,0,-0.983003,-38918.1,0.0461436,0.405
290001,0,-2.14073,-38917.8,1.18592,0.4006
295001,0,-2.20579,-38917.6,1.27886,0.4
300001,1,1.46109,-38917.5,0.246574,0.4122
305001,0,-2.12494,-38918.3,1.2042,0.4696
310001,0,-1.28406,-38917.7,0.410576,0.4138
315001,0,-0.924807,-38917.6,0.0235736,0.3644
320001,0,-1.2511,-38917.6,0.382366,0.4312
325001,3,4.05581,-38916.5,0.830331,0.3962
330001,0,-1.24047,-38918,0.397664,0.451
335001,0,-1.9223,-38919.7,0.950354,0.3246
340001,1,-3.23016,-38915.2,1.26487,0.4302
345001,1,2.12267,-38917.6,0.371094,0.324
350001,1,0.545134,-38919.6,0.724129,0.375
355001,1,0.588549,-38917.1,0.844566,0.3828
360001,1,-1.39218,-38913.8,1.4758,0.3664
365001,2,3.67956,-38917,0.977048,0.4064
370001,0,-1.42738,-38917.9,0.486482,0.3746
375001,2,2.76992,-38908.3,0.566949,0.3716
380001,0,-1.86564,-38917.9,0.778784,0.3928
385001,1,1.08145,-38917.3,0.609711,0.3418
390001,0,-1.59918,-38921.2,0.491671,0.4384
395001,1,0.474595,-38917.8,0.0477519,0.3642
400001,0,-2.48905,-38918.5,1.52903,0.3458
405001,0,-1.40411,-38918.6,0.44206,0.3454
410001,0,-1.41328,-38918.3,0.370563,0.331
415001,2,1.6405,-38918.3,0.523187,0.3656
420001,1,-2.59083,-38916.9,1.51804,0.4022
425001,2,2.92216,-38918.5,0.834444,0.3956
430001,4,6.26644,-38911.9,3.36071,0.4156
435001,0,-1.27386,-38917.7,0.304339,0.4024
440001,1,-1.29249,-38916.1,0.812443,0.4214
445001,1,1.79522,-38917.4,0.372967,0.3646
450001,0,-1.82575,-38917.7,0.859669,0.3466
455001,0,-2.10026,-38917.8,1.10007,0.3562
460001,0,-1.42422,-38918.9,0.368378,0.3544
465001,0,-2.58713,-38917.9,1.57989,0.3532
470001,1,1.31073,-38916.5,0.231231,0.338
475001,0,-1.75185,-38917.8,0.775485,0.3414
480001,0,-2.22601,-38917.7,1.22905,0.3628
485001,0,-1.36457,-38917.5,0.40775,0.3568
490001,1,1.40842,-38918,0.25121,0.3544
495001,0,-1.41868,-38918.1,0.369211,0.3912
500001,0,-2.51931,-38918,1.60816,0.324
505001,1,0.915675,-38919.1,0.349899,0.3586
510001,0,-1.05695,-38918.2,0.052388,0.4092
515001,0,-2.03,-38919.5,1.0918,0.3476
520001,0,-1.12817,-38917.5,0.249619,0.3554
525001,1,-2.23143,-38910.9,3.12567,0.33
530001,0,-2.19008,-38917.6,1.27948,0.5124
535001,0,-2.82933,-38917.7,1.88704,0.37
540001,2,2.26831,-38914.5,0.143627,0.4448
545001,1,1.12076,-38913.7,1.09223,0.507
550001,0,-3.80586,-38917.7,2.93044,0.4628
555001,0,-1.2938,-38918,0.355514,0.3414
560001,1,0.0381213,-38917.5,1.88842,0.3312
565001,0,-1.23101,-38917.5,0.351301,0.4498
570001,1,-3.31932,-38917.9,4.52539,0.4188
575001,0,-1.29439,-38918,0.401342,0.3942
580001,2,-0.823491,-38918.3,0.220453,0.3648
585001,0,-2.99825,-38918.4,2.08876,0.4002
590001,2,3.5196,-38921.2,0.39774,0.4
595001,0,-1.03475,-38918.6,0.214577,0.403
600001,1,-1.66756,-38918.2,0.756165,0.4518
605001,1,-3.80967,-38916.8,4.50598,0.3788
610001,0,-0.9967,-38918.4,0.115457,0.3736
615001,1,-1.21435,-38912.8,3.21334,0.49
620001,0,-1.34608,-38918.6,0.515634,0.397
625001,0,-1.32675,-38917.8,0.486383,0.3536
630001,0,-1.21764,-38917.7,0.344464,0.3748
635001,0,-1.58535,-38918.7,0.659081,0.3834
640001,1,-1.62051,-38919.1,0.644595,0.398
645001,0,-1.99993,-38918.5,1.09001,0.3538
650001,0,-1.82855,-38917.9,0.955576,0.3264
655001,0,-1.31422,-38921.8,0.314385,0.417
660001,2,1.09949,-38916.1,2.65821,0.3476
665001,1,1.70294,-38919.5,0.691606,0.4124
670001,0,-1.18935,-38918.6,0.34257,0.3808
675001,1,1.82114,-38917.5,0.256432,0.4198
680001,0,-1.2021,-38919.7,0.233647,0.3338
685001,0,-2.58385,-38918.7,1.66676,0.332
690001,0,-3.04084,-38918,2.17254,0.3872
695001,2,0.448197,-38916.9,1.01001,0.3562
700001,1,-0.0416385,-38919.8,0.456779,0.386
705001,1,2.06388,-38916.3,0.262277,0.4348
710001,0,-1.53015,-38917.8,0.679054,0.3878
715001,1,2.13961,-38917.7,0.0782846,0.3614
720001,0,-0.824495,-38918.7,0.0134089,0.4056
725001,1,1.22597,-38918.7,0.777371,0.3474
730001,1,1.17436,-38913.4,1.23191,0.4868
735001,2,0.867243,-38916.2,0.76825,0.3982
740001,0,-1.75549,-38917.8,0.9563,0.3764
745001,0,-0.932526,-38917.8,0.146931,0.3658
750001,1,0.891416,-38918.5,0.317194,0.3978
755001,1,-0.727657,-38918,0.638494,0.3854
760001,0,-1.74411,-38921.1,0.839063,0.3458
765001,0,-0.978888,-38920.1,0.080533,0.3302
770001,0,-0.900829,-38918.4,0.12248,0.392
775001,0,-1.13589,-38919,0.301951,0.3626
780001,0,-1.69045,-38918,0.886318,0.3598
785001,0,-0.929881,-38918.3,0.0929935,0.3648
790001,0,-1.63164,-38918.1,0.817782,0.429
795001,0,-0.862586,-38917.8,0.0527632,0.4086
800001,0,-3.3524,-38918.2,2.52269,0.319
805001,0,-0.888825,-38918.2,0.0618062,0.3808
810001,0,-1.21112,-38922.7,0.444444,0.378
815001,0,-1.2527,-38918.1,0.456369,0.4018
820001,0,-1.27793,-38919,0.495317,0.4254
825001,2,2.48783,-38918.5,0.934492,0.3658
830001,1,0.191206,-38918,0.332031,0.4884
835001,0,-1.14164,-38917.7,0.311941,0.3762
840001,1,0.0198075,-38916.5,1.17272,0.4144
845001,0,-1.57415,-38919.2,0.684069,0.3684
850001,1,-0.944708,-38918,2.46059,0.3794
855001,2,1.98779,-38917.6,0.0214506,0.378
860001,0,-1.18267,-38917.7,0.314062,0.3754
865001,0,-2.24628,-38918,1.39566,0.418
870001,1,-2.57177,-38916.7,0.292509,0.3412
875001,0,-0.96578,-38918,0.0820753,0.3356
880001,1,-4.36844,-38914.6,1.75879,0.3788
885001,0,-1.55626,-38918,0.617143,0.4014
890001,1,-2.06223,-38919,2.18358,0.3224
895001,0,-1.31659,-38918.4,0.350585,0.3782
900001,2,2.68709,-38912.2,0.225618,0.438
905001,1,1.29565,-38918.6,0.436324,0.334
910001,0,-1.54162,-38918,0.64998,0.3394
915001,0,-1.33633,-38918,0.432461,0.4368
920001,1,-3.1134,-38918.1,3.82304,0.3222
925001,0,-1.13867,-38917.9,0.242118,0.3598
930001,0,-3.8243,-38918.8,2.80284,0.3012
935001,0,-2.38686,-38917.7,1.3722,0.3994
940001,0,-0.978528,-38917.9,0.0557268,0.3396
945001,0,-2.36645,-38918.7,1.4305,0.391
950001,2,-1.70681,-38916.1,3.94843,0.3816
955001,0,-1.02385,-38918.2,0.0424816,0.369
960001,1,-4.32396,-38917.7,3.02762,0.2698
965001,0,-1.33348,-38918.5,0.197053,0.3784
970001,0,-1.50832,-38919.4,0.452422,0.3222
975001,0,-1.02059,-38917.8,0.0809593,0.3348
980001,1,-0.0680392,-38918.5,2.0443,0.3278
985001,0,-1.09133,-38917.8,0.195253,0.3222
990001,2,-0.152256,-38917.5,1.36063,0.4286
995001,2,5.5984,-38917.2,0.425356,0.4594
1000001,0,-1.34162,-38918.6,0.319963,0.3504
1005001,1,0.3178,-38917.8,0.526804,0.3874
1010001,0,-1.56321,-38918.6,0.570371,0.3496
1015001,1,1.10383,-38917.7,0.358723,0.3164
1020001,0,-1.01342,-38917.5,0.0315224,0.393
1025001,1,0.220612,-38915.9,0.891578,0.4186
1030001,0,-1.45971,-38917.5,0.450081,0.344
1035001,1,0.744703,-38917.5,0.555418,0.3712
1040001,0,-2.29628,-38917.9,1.32554,0.3574
1045001,0,-2.03131,-38917.5,0.993048,0.2938
1050001,2,1.70826,-38917.1,3.7935,0.3678
1055001,2,-1.73182,-38922.9,2.97711,0.3984
1060001,0,-1.0107,-38918.3,0.0430754,0.3542
1065001,0,-1.27052,-38917.5,0.266504,0.3858
1070001,1,-4.67249,-38917.1,0.647699,0.4172
1075001,0,-1.61977,-38918.3,0.508626,0.3808
1080001,2,-1.05102,-38917.8,1.08829,0.3684
1085001,0,-2.79171,-38917.7,1.81024,0.3692
1090001,0,-2.34262,-38917.7,1.36857,0.4088
1095001,1,-2.08556,-38918.5,2.71971,0.3488
1100001,0,-2.38563,-38918,1.31741,0.3692
1105001,0,-2.20886,-38917.9,1.13214,0.3488
1110001,1,-0.828221,-38915.7,1.85805,0.3344
1115001,0,-1.1503,-38917.5,0.117246,0.3472
1120001,0,-1.83708,-38918.4,0.814416,0.36
1125001,0,-2.99124,-38918.5,2.05209,0.2904
1130001,1,-0.862618,-38914.5,0.486654,0.4176
1135001,3,-5.87868,-38907.6,2.77808,0.4552
1140001,1,1.57477,-38911.6,0.178351,0.5174
1145001,1,-4.65104,-38913.7,0.530901,0.4898
1150001,1,-2.52179,-38911.9,0.53286,0.5382
1155001,1,1.11718,-38918.3,1.16655,0.3314
1160001,0,-1.35056,-38917.6,0.323552,0.3322
1165001,0,-1.08558,-38917.6,0.015292,0.3474
1170001,0,-1.95027,-38917.6,0.908075,0.3642
1175001,1,0.0292356,-38918.3,1.09829,0.3848
1180001,0,-2.80314,-38918.6,1.79921,0.3404
1185001,0,-1.21287,-38918.2,0.28735,0.325
1190001,0,-1.22792,-38920.1,0.111159,0.3194
1195001,1,0.0894656,-38917.4,1.00092,0.3402
1200001,0,-1.77712,-38918.9,0.675072,0.3276
1205001,0,-2.48033,-38917.9,1.47002,0.3386
1210001,0,-1.13725,-38917.5,0.159705,0.4158
1215001,0,-3.09697,-38917.5,2.10593,0.3922
1220001,2,0.744913,-38918,1.82825,0.364
1225001,2,2.68405,-38914.4,1.78722,0.3306
1230001,0,-1.12588,-38917.6,0.0898283,0.4158
1235001,0,-1.17419,-38919,0.120777,0.336
1240001,0,-1.43748,-38920.5,0.360164,0.3866
1245001,1,-1.6812,-38918.6,0.939514,0.3168
1250001,1,1.23924,-38916.5,0.0095599,0.3748
1255001,0,-2.86706,-38920.3,1.95084,0.396
1260001,0,-2.02812,-38918,1.00781,0.3344
1265001,3,3.54756,-38911.7,0.387974,0.3008
1270001,1,-2.84318,-38920.4,3.17958,0.4396
1275001,1,-0.921105,-38918.5,0.262222,0.3036
1280001,1,-0.627394,-38917.7,1.70354,0.354
1285001,0,-1.10849,-38918.1,0.111351,0.3826
1290001,0,-1.10007,-38917.9,0.142485,0.3406
1295001,1,2.20255,-38920,0.220359,0.3566
1300001,0,-0.95909,-38917.9,0.0282362,0.2878
1305001,0,-1.42818,-38917.7,0.435286,0.3122
1310001,2,2.77254,-38918.3,0.0877051,0.408
1315001,0,-5.03093,-38917.8,4.08528,0.3652
1320001,0,-1.66869,-38917.6,0.691103,0.345
1325001,0,-1.05994,-38918.4,0.0371556,0.3118
1330001,2,1.91031,-38917.8,0.867724,0.3372
1335001,1,0.636678,-38918.7,0.387896,0.46
1340001,0,-3.67764,-38917.7,2.65705,0.4088
1345001,0,-1.66425,-38918.6,0.58692,0.3546
