generation,N_shifts,eventRate
1525001,3,2.23842
1530001,0,0.150223
1535001,0,0.111986
1540001,2,1.35287
1545001,0,1.68766
1550001,0,1.74403
1555001,1,0.699153
1560001,1,1.5703
1565001,0,0.197383
1570001,0,0.255178
1575001,2,2.10974
1580001,0,0.0802776
1585001,0,2.9339
1590001,1,0.581043
1595001,3,0.195626
1600001,2,0.966632
1605001,0,1.1288
1610001,0,1.08684
1615001,2,0.448478
1620001,3,2.23043
1625001,0,0.369526
1630001,2,1.1716
1635001,1,2.80169
1640001,0,0.775898
1645001,4,1.8013
1650001,3,2.46224
1655001,1,0.387147
1660001,2,0.533541
1665001,0,1.25758
1670001,2,0.325096
1675001,1,3.3485
1680001,4,2.84422
1685001,0,1.00116
1690001,1,1.54502
1695001,1,2.137
1700001,0,0.0829662
1705001,1,0.33389
1710001,1,3.09184
1715001,2,0.0863065
1720001,0,0.0153694
1725001,0,1.7895
1730001,1,1.19009
1735001,0,0.361892
1740001,1,0.726413
1745001,0,0.670988
1750001,1,1.45825
1755001,3,0.497699
1760001,1,1.07607
1765001,2,0.584598
1770001,1,1.18268
1775001,0,0.505444
1780001,0,0.257853
1785001,1,1.38401
1790001,0,0.963806
1795001,0,0.153685
1800001,2,3.32356
1805001,1,0.956913
1810001,0,0.555352
1815001,2,0.435873
1820001,3,2.11881
1825001,0,2.05176
1830001,3,2.6068
1835001,0,1.51317
1840001,4,0.796236
1845001,0,0.689645
1850001,1,1.26046
1855001,2,0.798139
1860001,1,0.591434
1865001,0,0.330451
1870001,0,1.50465
1875001,0,1.53979
1880001,0,0.760067
1885001,1,0.171224
1890001,0,0.354167
1895001,0,0.309855
1900001,0,0.108992
1905001,0,0.203412
1910001,1,4.63953
1915001,0,0.452352
1920001,0,0.483474
1925001,3,0.287032
1930001,0,0.0649505
1935001,1,6.93801
1940001,0,0.127138
1945001,0,0.138768
1950001,1,0.404597
1955001,3,4.13812
1960001,0,0.0723902
1965001,0,0.859256
1970001,1,0.955587
1975001,0,0.171296
1980001,0,2.60117
1985001,1,0.735405
1990001,0,0.3938
1995001,0,0.424415
2000001,1,0.556519
2005001,2,1.0962
2010001,0,2.13672
2015001,0,2.21193
2020001,0,0.223698
2025001,3,2.24608
2030001,0,0.163111
2035001,1,0.219483
2040001,0,0.127073
2045001,1,1.17993
2050001,0,0.681905
2055001,1,0.45286
2060001,0,0.157391
2065001,0,0.163334
2070001,0,0.309549
2075001,2,0.471117
2080001,1,3.33478
2085001,2,0.645613
2090001,0,0.0745258
2095001,0,0.10066
2100001,0,0.479754
2105001,0,0.60479
2110001,3,0.649872
2115001,2,0.870083
2120001,0,1.13174
2125001,0,0.114943
2130001,0,0.344293
2135001,1,5.74947
2140001,0,0.474131
2145001,1,1.91796
2150001,1,0.606569
2155001,0,0.289918
2160001,2,3.96894
2165001,0,0.607948
2170001,0,1.50085
2175001,3,0.185544
2180001,0,0.0251007
2185001,2,1.3053
2190001,2,1.19401
2195001,1,0.610531
2200001,0,0.0705313
2205001,0,0.477878
2210001,0,0.0670818
2215001,0,0.0731237
2220001,1,0.195437
2225001,1,0.474219
2230001,1,0.351381
2235001,3,1.0199
2240001,3,0.106715
2245001,2,0.658381
2250001,0,1.42894
2255001,1,0.900767
2260001,2,0.326815
2265001,1,1.40994
2270001,2,1.86117
2275001,1,0.648405
2280001,0,0.139722
2285001,0,0.0410542
2290001,1,1.54672
2295001,1,0.661591
2300001,0,0.0937838
2305001,2,0.356671
2310001,0,0.255152
2315001,1,0.847116
2320001,0,0.854615
2325001,1,2.7718
2330001,1,0.995015
2335001,0,0.212062
2340001,0,0.777685
2345001,1,0.658063
2350001,0,0.0942083
2355001,0,0.25243
2360001,0,0.217121
2365001,1,2.64032
2370001,1,0.230391
2375001,0,0.00104878
2380001,1,1.15097
2385001,1,0.830381
2390001,2,1.38157
2395001,0,1.19451
2400001,1,1.07887
2405001,1,0.613919
2410001,1,0.17658
2415001,1,0.550603
2420001,0,0.70062
2425001,0,0.032898
2430001,0,0.51044
2435001,0,0.345493
2440001,0,0.443646
2445001,0,0.395559
2450001,1,0.240134
2455001,1,1.13184
2460001,1,0.317599
2465001,1,0.229646
2470001,1,2.15889
2475001,3,0.907981
2480001,1,0.340743
2485001,2,4.49368
2490001,1,0.793916
2495001,1,1.16024
2500001,0,0.157492
2505001,0,2.58763
2510001,1,0.154017
2515001,1,0.520102
2520001,0,0.286309
2525001,2,1.83922
2530001,2,0.766637
2535001,0,0.0603472
2540001,2,1.30939
2545001,2,0.743551
2550001,3,3.16859
2555001,2,0.254242
2560001,1,1.04067
2565001,2,1.83363
2570001,2,1.07979
