generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
1,28551,31848,0,0.032,0,0.005,0
5001,28551,31848,0,0.0126071,0,0.0117388,0
5001,30161,32076,19550.4,0.0011084,-9.19803e-06,0.00292627,0
5001,33921,27942,15189.7,0.000254701,4.78873e-05,0.000854587,0
5001,29772,30009,26217.8,0.000680205,2.33602e-05,0.000627905,0
5001,25761,24901,6908.51,0.000662654,2.93313e-06,0.000693193,0
5001,16151,NA,12665.3,0.00274137,-0.000873036,0.000634332,0
5001,22991,21851,19737.2,0.000332425,-6.45496e-05,0.000555394,0
5001,12934,NA,21793.6,0.00121209,-0.00255683,0.00118228,0
5001,9184,NA,26238.3,0.000341356,7.12365e-06,0.00314903,0
5001,34113,28463,3892.63,0.000721952,3.99191e-06,0.00079113,0
5001,29802,NA,25218,0.000320783,-0.00354928,0.00178126,0
5001,20518,NA,11512,0.000461493,-0.00190158,0.00036189,0
5001,29469,34002,19126.6,0.000713301,-4.89544e-05,0.00220809,0
5001,31770,30311,22431.9,0.000915748,-2.32952e-05,0.0013623,0
5001,33683,31839,15088.2,0.00104892,-6.30104e-06,0.00170926,0
5001,28126,30882,26098.3,0.000599764,6.06087e-05,0.00151374,0
10001,28551,31848,0,0.0126071,0,0.0117388,0
10001,30161,32076,17984.3,0.00178542,-9.19803e-06,0.00312165,0
10001,33621,30441,8799.34,0.00157781,-7.44698e-05,0.00116708,0
10001,33921,27942,15043.5,0.000458155,4.78873e-05,0.00125685,0
10001,21349,34813,20278.5,0.0020228,1.66731e-05,0.00236671,0
10001,25761,24901,6492.3,0.000168539,2.93313e-06,0.000281435,0
10001,28655,24408,8624.78,0.00183076,1.06899e-05,0.00228599,0
10001,17645,28852,7483.68,5.62988e-05,-2.64088e-05,5.18061e-05,0
10001,16151,NA,11491.3,0.00119028,-0.00238051,0.000360385,0
10001,26911,28257,15981.5,0.000717383,4.2203e-06,0.00156974,0
10001,22252,26524,20236.6,0.000209482,-6.69397e-05,0.000875357,0
10001,20201,NA,25017.1,0.000228304,2.75979e-05,0.00184311,0
10001,11554,30957,21642.5,0.000381278,3.99512e-05,0.00118482,0
10001,20883,NA,28755.6,0.00126671,1.61437e-05,0.000416384,0
10001,13874,26609,14153.7,0.000594671,-3.33787e-05,0.000487714,0
10001,10847,NA,19630.4,0.0014102,-0.0224739,0.000851909,0
10001,18518,32504,25418.2,0.000194539,8.37553e-05,0.00062593,0
10001,23306,28916,13182.3,0.00134786,3.10324e-05,0.00169708,0
10001,24208,NA,22793,0.000830359,-0.00354928,0.00155872,0
10001,32065,31649,23134.6,0.000326178,8.27431e-06,0.000104269,0
10001,29431,29991,5991.91,0.000487735,1.78449e-05,0.000554408,0
10001,26945,29808,16417.6,0.000369175,6.06087e-05,0.00141661,0
10001,27285,29200,20495.1,0.00126668,-1.19846e-05,0.00248774,0
10001,29627,NA,19183.1,0.000805636,-0.0216507,0.00116444,0
10001,20229,29537,17735.8,0.00049292,1.65788e-05,0.000836483,0
10001,25358,33322,23351.4,7.89324e-05,-2.42982e-05,0.00171249,0
10001,26780,25954,19859,0.000147209,1.06509e-05,0.000301469,0
10001,33683,31839,12426.4,0.00102416,-6.30104e-06,0.00138938,0
10001,34113,33405,2017.53,0.000719891,3.99191e-06,0.000735636,0
10001,32541,30137,12203.3,0.000460151,-6.45496e-05,0.000252695,0
10001,31650,32532,13468.9,0.000217504,5.24313e-05,0.000291209,0
10001,16475,NA,18772,0.000892348,5.442e-07,0.00126273,0
10001,12934,NA,21337.2,3.49863e-05,-0.00255683,0.00142029,0
10001,9184,NA,25297.8,0.000939742,7.12365e-06,0.00268912,0
10001,11602,NA,27124.2,0.000656402,-0.00400936,0.00218172,0
10001,32392,28439,10115.4,0.000430775,-4.82061e-06,0.000692649,0
10001,20518,NA,7170.45,0.00144453,-0.00190158,0.000152781,0
10001,33586,29582,20336.4,0.000325896,-2.59969e-05,0.000538908,0
10001,29469,34002,15610.5,0.000220398,-4.89544e-05,0.00114462,0
10001,33747,NA,27411.6,0.00413386,-0.00881122,0.00378436,0
10001,19156,28709,25246.7,0.00102791,-0.00823131,0.000990295,0
10001,31770,30311,20889.4,0.000497507,-2.32952e-05,0.000641472,0
15001,28551,31848,0,0.0126071,0,0.0117388,0
15001,33621,30441,6177.12,0.000469327,-7.44698e-05,0.000351247,0
15001,33921,27942,13455.7,0.00072831,4.78873e-05,0.00160133,0
15001,21349,34813,19668.6,0.00247862,1.66731e-05,0.00278316,0
15001,28655,24408,8729.99,0.00196835,1.06899e-05,0.00221791,0
15001,17645,28852,7026.29,9.06625e-05,-2.64088e-05,0.000100213,0
15001,16151,NA,9958.76,0.00134572,-0.00238051,0.000279479,0
15001,20204,32775,17034.8,0.000808649,-7.09544e-06,0.00164836,0
15001,26911,28257,14780.9,0.000844885,4.2203e-06,0.00107641,0
15001,22252,26524,19912.6,0.000369205,-6.69397e-05,0.000951395,0
15001,33389,NA,25686,0.00113266,-0.00974037,0.00317687,0
15001,11999,NA,26279.7,0.000796883,4.08427e-05,0.00506113,0
15001,11336,13180,13188.4,0.000252367,-3.33787e-05,0.000252616,0
15001,23225,32707,21831.2,0.000833309,3.76432e-05,0.000880951,0
15001,18518,32504,25815.8,0.000813785,8.37553e-05,0.00216293,0
15001,32403,33793,19136.3,0.000269622,-1.19846e-05,0.00106322,0
15001,23306,28916,13788.2,0.00110647,3.10324e-05,0.00149395,0
15001,29431,29991,5991.91,0.0004182,1.78449e-05,0.000551152,0
15001,32392,28439,9217.42,0.000463982,-4.82061e-06,0.000558412,0
15001,26945,29808,14099,0.000356271,6.06087e-05,0.0010888,0
15001,20518,NA,8519.33,0.00100113,-0.00350522,0.000186773,0
15001,24280,33230,26460.7,0.00250227,-0.000377,0.00443199,0
15001,16487,32018,18843,0.000571456,2.63982e-05,0.00095494,0
15001,29627,NA,19183,0.00316916,-0.0117067,0.000935119,0
15001,20229,29537,13803.8,0.000287616,1.65788e-05,0.000746591,0
15001,25358,33322,22424,0.000111441,-2.42982e-05,0.00171249,0
15001,26780,25954,18821.9,0.000542094,1.06509e-05,0.000625196,0
15001,31638,NA,27140.5,0.000435723,-3.19949e-05,0.00359698,0
15001,33683,31839,11006.6,0.00118423,-6.30104e-06,0.00141316,0
15001,26262,30489,1644.47,0.000703805,3.99191e-06,0.000729366,0
15001,31650,32532,11847.3,0.000117333,5.24313e-05,0.000159436,0
15001,30161,32076,16975.4,0.00131929,-9.19803e-06,0.00273292,0
15001,10376,26571,18615.9,0.000147482,-2.15877e-05,0.000183555,0
15001,25761,24901,7081.29,0.000359296,2.93313e-06,0.000407524,0
15001,26173,32657,25076.6,0.000715027,-3.93438e-05,0.0028601,0
15001,21352,23659,12338.2,0.00130908,-4.12607e-05,0.00103337,0
15001,23053,30929,24559.6,0.000552344,4.9108e-06,0.00166637,0
15001,11554,30957,20553.7,0.000273573,3.99512e-05,0.00103436,0
15001,10847,NA,16558.1,0.000957421,-0.0224739,0.000635234,0
15001,26224,NA,20067.4,0.000431762,-5.45706e-05,0.000228806,0
15001,30599,31676,15481.5,0.000648988,5.442e-07,0.00136302,0
15001,20201,NA,23395,0.0007116,2.75979e-05,0.00157735,0
15001,23770,NA,25262.5,0.000328923,3.35556e-05,0.00149975,0
15001,12934,NA,20834.1,2.18727e-05,-0.00255683,0.000710829,0
15001,9184,NA,25548.8,0.000111957,7.12365e-06,0.002513,0
15001,32364,NA,29836.3,0.000205578,-6.3715e-05,9.76077e-05,0
15001,24208,NA,21660.8,0.000451756,-0.00354928,0.00108154,0
15001,29914,22727,19685.3,0.000805857,-2.54136e-05,0.000768211,0
15001,33951,26682,7857.68,0.000922181,-1.95123e-05,0.000780112,0
15001,31772,31957,7476.65,0.000421992,8.27431e-06,0.000451166,0
15001,33586,29582,17012,0.000202582,-2.59969e-05,0.000817039,0
15001,19156,28709,24486.8,0.000354931,-0.00315975,0.000318255,0
15001,29469,34002,15227.6,0.000807991,-4.89544e-05,0.000915903,0
15001,33747,NA,26155.5,0.00247909,-0.00881122,0.00224456,0
15001,31770,30311,18079.5,0.000456191,-2.32952e-05,0.000153806,0
15001,32541,30137,10887.3,0.00105347,-6.45496e-05,0.000693962,0
20001,28551,31848,0,0.0126071,0,0.0117388,0
20001,33621,30441,4850.29,0.000309035,-7.44698e-05,0.000270886,0
20001,33921,27942,11658.4,0.000594572,4.78873e-05,0.00149197,0
20001,20681,17732,13958.9,0.00247862,1.66731e-05,0.00291683,0
20001,10901,17645,6260.54,0.000194093,-2.64088e-05,5.09236e-05,0
20001,16151,NA,8206.49,0.00177969,-0.00484473,4.35844e-05,0
20001,20204,32775,17386.3,0.000773559,-7.09544e-06,0.00133366,0
20001,26911,28257,12532.5,0.00106576,4.2203e-06,0.00146331,0
20001,33389,NA,25149.4,0.000187422,-0.000241848,0.0024101,0
20001,28293,23225,19488.2,0.000196499,3.76432e-05,0.000355933,0
20001,23306,28916,12151.2,0.000949602,3.10324e-05,0.00138817,0
20001,32392,28439,10050.6,0.000558028,-4.82061e-06,0.000657965,0
20001,26945,29808,14937.4,0.000305664,6.06087e-05,0.000718721,0
20001,20518,NA,7006.97,0.00212859,-0.00350522,2.37634e-05,0
20001,16487,32018,17782.4,0.000234297,2.63982e-05,0.000583117,0
20001,31638,NA,26556.1,3.80398e-05,-0.00134232,0.00374791,0
20001,33683,31839,10461.3,0.00116487,-6.30104e-06,0.00142033,0
20001,26262,30489,1649.75,0.000711159,3.99191e-06,0.000718002,0
20001,31650,32532,9446.2,0.000202273,5.24313e-05,0.000257194,0
20001,30161,32076,18237.5,0.00127646,-9.19803e-06,0.00273292,0
20001,32403,33793,19492.2,0.000209314,-1.19846e-05,0.00128742,0
20001,32985,33892,15094.9,0.00101999,-6.15093e-05,0.000715351,0
20001,20167,28255,14321.7,7.49521e-05,9.85493e-07,0.000410413,0
20001,10376,26571,16348.8,0.0004028,-2.15877e-05,0.000733655,0
20001,25761,24901,8751.4,0.000666924,2.93313e-06,0.000776102,0
20001,28655,24408,7470.47,0.00181272,1.06899e-05,0.00221791,0
20001,27714,30851,17244.3,0.000137319,1.27081e-05,0.000266225,0
20001,26173,32657,22696.6,0.000461015,-3.93438e-05,0.0020083,0
20001,30599,31676,16725.7,0.000434684,5.442e-07,0.00114185,0
20001,10847,NA,16299.3,0.0012161,-0.000369246,0.00076916,0
20001,26224,NA,21381.4,1.09806e-05,-0.00666601,0.00076274,0
20001,28322,31026,22591.7,0.000593745,0.000115866,0.0022172,0
20001,19324,25018,19373.3,0.000249481,-2.12446e-05,0.00012081,0
20001,22666,30758,18820.9,4.20288e-05,2.21064e-05,3.54439e-05,0
20001,15198,33626,19275.9,0.000321808,9.16008e-05,0.00145354,0
20001,16749,NA,18876.8,0.0016376,2.59357e-05,0.00224586,0
20001,22252,26524,22913.8,0.000345481,-6.69397e-05,0.000140727,0
20001,20201,NA,24630.3,0.000340934,2.75979e-05,0.00167944,0
20001,23053,30929,21942.4,0.000552237,4.9108e-06,0.00100859,0
20001,23770,NA,23455.9,0.000172836,3.35556e-05,0.000466321,0
20001,11554,21317,18200.3,0.000130128,3.99512e-05,0.000784658,0
20001,15712,31567,25795.1,0.000752757,-4.71181e-05,0.000778312,0
20001,11999,NA,27115.9,0.00158555,-0.00240941,0.00506113,0
20001,12934,NA,19930.7,5.51128e-05,-0.00544424,0.000800862,0
20001,15897,NA,25909.6,0.00075718,-1.53516e-05,0.00355233,0
20001,11336,29012,12100.1,0.000342336,-3.33787e-05,0.000186606,0
20001,16046,NA,24676.5,0.000414565,-0.00379966,0.00183309,0
20001,18518,32504,24809.1,0.000813216,8.37553e-05,0.00260849,0
20001,9184,NA,25899.6,6.37887e-05,7.12365e-06,0.00275595,0
20001,24208,NA,17957.5,0.00014408,-0.00354928,0.000598411,0
20001,29957,33594,15255.7,0.000156948,5.50807e-05,0.000872561,0
20001,29914,22727,19241.5,0.000706481,-2.54136e-05,0.000269092,0
20001,33951,26682,8019.96,0.000922181,-1.95123e-05,0.000780112,0
20001,33586,29582,16436.5,0.000311645,-2.59969e-05,0.000872486,0
20001,19156,28709,23437.5,0.00435689,-0.00315975,0.000149823,0
20001,19699,28039,19044.7,0.000431718,-4.09303e-05,0.000339719,0
20001,29431,29991,5991.91,0.000385705,1.78449e-05,0.00049908,0
20001,27450,NA,20713.9,0.000334332,3.96659e-05,0.00106969,0
20001,32642,30203,18945.9,0.000445357,6.75546e-05,0.00139078,0
20001,28660,NA,26194,0.00107752,7.49619e-05,0.00224691,0
20001,24107,32065,9802.75,0.00136936,-4.12607e-05,0.00112093,0
20001,24280,33230,22960.7,0.00165892,-0.000377,0.00287254,0
20001,29627,NA,16751.2,0.00171501,-0.0211006,0.000741697,0
20001,20229,29537,14036.3,0.000300267,1.65788e-05,0.000857774,0
20001,25358,33322,22195.8,0.00036794,-2.42982e-05,0.00186562,0
20001,11608,28670,13794.8,0.000876223,-1.49474e-05,0.00111291,0
20001,32687,31127,21258.3,0.00165351,5.95782e-05,0.00271164,0
20001,26780,25954,16529.9,0.000885369,1.06509e-05,0.000940391,0
20001,29469,34002,14014.4,0.000222348,-4.89544e-05,0.000749791,0
20001,33747,NA,26885.6,0.00320934,-0.00881122,0.00219183,0
20001,31770,30311,18248.4,0.000406644,-2.32952e-05,0.000528083,0
20001,31220,34802,26949.7,0.000920253,-1.44587e-05,0.00169574,0
20001,31772,31957,5405.91,0.000409734,8.27431e-06,0.000520077,0
20001,32541,30137,8721.83,0.000403771,-6.45496e-05,0.000310611,0
