generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1,0,-153.573,-778166,0.557087,1
5001,21,196.517,-32427.6,0.862476,0.4822
10001,34,399.021,-32167.4,0.274433,0.4674
15001,40,491.524,-30941.5,0.396378,0.458
20001,43,534.92,-30677.1,0.205415,0.4466
25001,45,574.916,-30453.3,0.520779,0.4376
30001,53,685.812,-29145.9,0.343825,0.4436
35001,54,704.691,-29023.8,1.31189,0.4212
40001,51,652.963,-28219.2,0.431034,0.4244
45001,44,544.93,-27510.3,0.634714,0.4146
50001,43,521.162,-24951.5,0.423609,0.4162
55001,37,425.214,-24796.9,1.10617,0.403
60001,28,294.861,-23616.2,0.376577,0.4448
65001,16,112.373,-23039.1,1.06147,0.4462
70001,15,103.509,-23014.5,1.21393,0.4178
75001,7,-15.4128,-22623.5,2.37629,0.3844
80001,7,-15.9839,-22573.3,2.91054,0.371
85001,3,52.4656,-22426.1,0.147845,0.338
90001,3,52.364,-22420.7,1.40338,0.282
95001,3,46.1564,-22422.1,0.0789777,0.3026
100001,4,66.1351,-22417.5,1.09666,0.2662
105001,3,49.8179,-22416.6,2.03194,0.2948
110001,4,65.6071,-22418.8,0.449987,0.2884
115001,3,51.07,-22416.9,1.74273,0.3074
120001,3,52.5124,-22416.2,0.674009,0.2644
125001,3,52.148,-22414.2,0.45457,0.2792
130001,3,48.9211,-22416.6,0.0421108,0.2746
135001,3,48.6264,-22414.9,0.0680747,0.2768
140001,3,51.9642,-22414.4,0.151406,0.3036
145001,3,50.1823,-22417.6,1.25846,0.2734
150001,3,47.3372,-22418.8,4.35824,0.2848
155001,5,83.1888,-22411.4,0.215103,0.3244
160001,3,49.551,-22416,1.60875,0.2988
165001,3,49.7435,-22415.9,0.225582,0.3036
170001,4,64.3606,-22411.1,0.743455,0.3048
175001,3,51.0605,-22416.8,0.284522,0.2778
180001,4,62.8797,-22416.6,5.58971,0.3126
185001,3,52.2514,-22409.7,0.292126,0.2832
190001,5,78.0286,-22410.7,1.00845,0.297
195001,3,51.0101,-22412.8,1.42621,0.3158
200001,4,63.9676,-22413.7,1.37018,0.2774
205001,4,64.7397,-22414.9,3.1011,0.294
210001,5,82.4865,-22408,0.0128192,0.316
215001,3,50.1552,-22412,1.58946,0.328
220001,3,51.9129,-22413.6,0.140984,0.261
225001,3,53.6305,-22412.9,0.124658,0.3056
230001,3,51.7975,-22411.9,0.571194,0.296
235001,3,52.6961,-22419,0.352257,0.2902
240001,3,53.098,-22412.3,0.122821,0.2672
245001,3,49.8366,-22414.1,1.82749,0.3128
250001,3,50.1546,-22414.1,1.49985,0.287
255001,3,51.2279,-22414.8,0.0558721,0.2744
260001,4,67.3312,-22414,0.129275,0.2744
265001,3,52.2172,-22413.2,0.526959,0.3198
270001,3,50.6629,-22410.2,0.137957,0.2782
275001,3,48.9638,-22415.1,2.67974,0.3122
280001,4,65.9221,-22416.6,0.454624,0.2416
285001,3,52.7325,-22412.7,0.328678,0.3142
290001,4,69.4185,-22411.4,0.664425,0.2766
295001,4,64.8814,-22413.8,1.44881,0.3022
300001,3,48.5857,-22414.1,3.46164,0.2944
305001,3,52.1863,-22415.2,0.0739694,0.2732
310001,3,51.2363,-22412.4,1.65115,0.2762
315001,4,65.5201,-22410.1,0.221039,0.3036
320001,3,50.2504,-22417,0.418435,0.2798
325001,3,52.0533,-22410.2,0.174373,0.2846
330001,3,49.4084,-22412.2,1.45325,0.2932
335001,3,51.1834,-22416.1,0.200771,0.2888
340001,3,49.9468,-22419.3,0.845078,0.295
345001,3,51.5394,-22418.4,0.905565,0.2912
350001,3,51.1229,-22415.4,1.2511,0.2748
355001,3,51.5771,-22413,1.25739,0.2844
360001,4,67.992,-22414.8,1.29968,0.3012
365001,3,50.8487,-22413.2,0.503537,0.2824
370001,3,52.928,-22414.1,0.345709,0.275
375001,3,52.2878,-22412.3,0.960808,0.2804
380001,3,50.5342,-22415.8,0.517061,0.2778
385001,4,66.0389,-22416.2,0.0437824,0.3014
390001,4,62.1434,-22414.9,2.72157,0.2884
395001,3,48.273,-22417,2.01396,0.2896
400001,3,50.2484,-22415.1,1.79837,0.287
405001,3,47.8608,-22415.1,0.735288,0.3134
410001,4,65.7884,-22413.5,0.792878,0.2742
415001,3,51.9997,-22411.3,0.840579,0.2988
420001,3,49.918,-22411.3,3.22711,0.2676
425001,3,51.2245,-22410.4,1.86531,0.2722
430001,3,50.1336,-22412.1,0.52432,0.3032
435001,3,50.2397,-22414,0.104499,0.277
440001,4,65.4676,-22413.9,0.419014,0.2778
445001,3,50.4063,-22414.9,1.34552,0.3012
450001,3,44.7454,-22414.3,1.74504,0.3124
455001,3,51.5924,-22412,0.335916,0.2768
460001,3,49.2516,-22410,0.12712,0.2666
465001,4,65.8179,-22365.8,1.00557,0.308
470001,4,66.5081,-22369,0.899315,0.2968
475001,4,64.9573,-22367.4,1.92544,0.2954
480001,4,63.1966,-22365.7,0.798564,0.2856
485001,4,68.2298,-22365.1,1.06607,0.2956
