generation,N_shifts,logPrior,logLik,eventRate,acceptRate
3000001,2,30.6331,-22292,1.11047,0.188
3025001,2,30.7169,-22292.9,0.788741,0.2234
3050001,2,27.938,-22287.6,4.17139,0.2109
3075001,2,31.2463,-22291.1,0.526341,0.1928
3100001,2,28.1057,-22291.9,3.56268,0.17
3125001,2,31.2398,-22291,0.464942,0.2292
3150001,2,30.8386,-22295.6,0.402551,0.1855
3175001,2,30.6955,-22290.6,1.1222,0.2228
3200001,2,28.262,-22292.3,3.50636,0.2166
3225001,3,47.4459,-22290.4,0.185133,0.2056
3250001,3,46.299,-22292.8,1.77972,0.2095
3275001,2,30.3788,-22293.8,1.24258,0.2176
3300001,2,30.987,-22291.1,0.996298,0.1847
3325001,3,48.4463,-22294,0.271366,0.215
3350001,3,45.9864,-22290.1,1.75223,0.2052
3375001,2,30.0531,-22292,1.51751,0.185
3400001,3,46.0852,-22290,1.95427,0.2229
3425001,3,46.2354,-22294.5,0.408328,0.2074
3450001,2,31.4858,-22294.5,0.638158,0.2126
3475001,3,47.273,-22287.3,0.124426,0.2166
3500001,4,63.0172,-22263.7,0.420779,0.2672
3525001,4,63.7118,-22269.5,0.323302,0.1792
3550001,2,31.2182,-22283.4,0.572237,0.2138
3575001,3,47.4293,-22284.3,0.734706,0.1954
3600001,2,31.3185,-22284.1,0.354749,0.2115
3625001,2,31.1336,-22279.7,0.232474,0.2038
3650001,2,31.2389,-22283.6,0.522228,0.221
3675001,2,31.5317,-22284.5,0.406177,0.2384
3700001,2,31.1318,-22283.7,0.406721,0.2161
3725001,2,29.0832,-22280.5,2.47489,0.2018
3750001,3,46.6861,-22264.5,0.859593,0.2748
3775001,3,45.7366,-22267.1,1.28965,0.2776
3800001,3,47.2755,-22263.3,0.50312,0.2722
3825001,3,47.4174,-22257.4,0.085193,0.2488
3850001,3,48.0638,-22258.5,0.0736558,0.2532
3875001,3,44.277,-22266.2,3.47144,0.3018
3900001,3,47.0334,-22257.7,0.416175,0.2308
3925001,4,63.265,-22256.3,0.568766,0.279
3950001,4,61.2015,-22254.5,1.02431,0.2652
3975001,4,63.8441,-22257.3,0.209494,0.2518
4000001,3,46.7323,-22259,0.557494,0.2592
4025001,3,46.4383,-22259.1,1.05883,0.2508
4050001,4,62.775,-22256.3,1.25267,0.2956
4075001,4,62.6538,-22259.8,0.917403,0.2508
4100001,3,45.6474,-22259.8,1.94175,0.2548
