generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1.37701,-10506.6,1,0
5000,1,-4.22194,-10207.4,2.74518,0.3096
10000,2,-6.23725,-10046.3,1.17107,0.344166
15000,1,-1.98088,-10014.1,0.404797,0.362
20000,2,-3.37674,-9999.96,0.553208,0.2988
25000,1,-2.44037,-9940.99,1.16875,0.3367
30000,1,-2.28977,-9916.44,0.939305,0.1684
35000,1,-4.48862,-9899.4,3.09975,0.1816
40000,1,-2.68698,-9891.5,1.27824,0.25295
45000,1,-3.21339,-9944.56,1.60853,0.391302
50000,1,-1.86774,-9885.52,0.481284,0.1794
55000,1,-2.1412,-9883.07,0.723865,0.1642
60000,1,-2.54268,-9883.55,1.1327,0.175
65000,2,-4.88215,-9881.6,1.30746,0.172567
70000,1,-1.59484,-9887.55,0.151126,0.297424
75000,1,-1.88603,-9884.79,0.411027,0.171333
80000,1,-2.73254,-9881.88,1.28059,0.1844
85000,2,-3.03907,-9885.78,0.492325,0.1848
90000,1,-1.86477,-9884.04,0.482743,0.1682
95000,1,-1.89921,-9888.99,0.530394,0.2544
100000,1,-1.71913,-9883.37,0.298155,0.188733
105000,1,-2.82203,-9883.67,1.39381,0.1774
110000,1,-1.58148,-9884.62,0.141805,0.174333
115000,1,-1.59863,-9884.08,0.142648,0.1938
120000,2,-6.35412,-9882.68,0.0056416,0.1798
125000,1,-1.84052,-9884.21,0.395446,0.1738
130000,1,-3.16834,-9887.89,1.70769,0.1792
135000,1,-2.42125,-9884.33,1.00206,0.1835
140000,1,-3.74745,-9884.58,2.31062,0.1842
145000,1,-4.88233,-9887.12,3.4251,0.18722
150000,1,-3.14313,-9881.98,1.70535,0.1766
155000,1,-3.58206,-9887.43,2.17124,0.239
160000,1,-2.36332,-9881.09,0.921043,0.178733
165000,1,-1.41988,-9882.6,0.0136783,0.1991
170000,1,-1.59234,-9885.34,0.190541,0.196
175000,1,-1.47345,-9887.12,0.102927,0.2412
180000,1,-2.23247,-9888.92,0.860718,0.1626
185000,2,-4.74207,-9870.16,2.13483,0.21912
190000,2,-3.08536,-9870.13,0.858748,0.2656
195000,2,-2.26462,-9833.87,0.108821,0.219325
200000,2,-2.54382,-9837.07,0.388176,0.1744
205000,2,-4.69807,-9837.69,2.53841,0.187
210000,2,-2.28112,-9841.55,0.0101268,0.197
215000,2,-2.16737,-9836.81,0.00267835,0.1702
220000,2,-2.98246,-9838.73,0.828116,0.2096
225000,1,-1.677,-9882.14,0.206533,0.181556
230000,1,-2.73133,-9886.9,1.26935,0.1928
235000,3,-6.82053,-9833.69,0.279025,0.196733
240000,1,-4.99447,-9883.46,3.52113,0.1677
245000,1,-2.40332,-9882.28,0.955494,0.1622
250000,2,-5.30468,-9836.62,3.07952,0.180067
255000,1,-4.68512,-9939.42,0.25842,0.380319
260000,2,-3.11942,-9866.55,0.730485,0.2692
265000,2,-2.92512,-9834.62,0.728701,0.1876
270000,2,-2.29036,-9835.69,0.127297,0.1876
275000,2,-2.92879,-9867.09,0.849076,0.279267
280000,2,-2.30257,-9836.17,0.106254,0.1871
285000,2,-2.49141,-9841.91,0.230087,0.2625
290000,2,-3.09162,-9838.12,0.902136,0.1885
295000,1,-2.00847,-9882.51,0.585343,0.18276
300000,4,-6.54237,-9838.19,0.107183,0.187867
305000,3,-6.20137,-9835.03,2.32895,0.2648
310000,1,-3.43792,-9938.73,0.0536531,0.395273
315000,2,-3.80173,-9843.26,1.6493,0.20904
320000,2,-3.41399,-9835.4,1.24251,0.1846
325000,2,-4.52542,-9882.83,0.179358,0.1851
330000,2,-2.60754,-9836.34,0.449094,0.1777
