generation,N_shifts,eventRate
1,1,1
5001,0,0.5177
10001,2,0.926441
15001,2,0.409781
20001,2,3.28319
25001,2,1.71979
30001,0,0.176865
35001,1,1.19614
40001,3,1.07651
45001,0,0.632658
50001,0,1.49076
55001,0,0.244896
60001,0,0.148118
65001,3,0.303819
70001,1,1.91202
75001,1,0.770074
80001,2,0.0488059
85001,0,1.00104
90001,0,2.031
95001,0,0.141983
100001,0,1.0116
105001,2,3.58238
110001,2,0.471914
115001,1,0.806022
120001,2,2.08102
125001,1,1.70808
130001,4,0.653453
135001,0,0.0141208
140001,1,0.318825
145001,3,1.52836
150001,0,0.376357
155001,0,0.774935
160001,2,1.35117
165001,0,0.203661
170001,3,4.20315
175001,0,1.37981
180001,0,2.52824
185001,0,0.510126
190001,2,1.73897
195001,0,0.850174
200001,2,1.28224
205001,0,1.11164
210001,2,0.992179
215001,3,2.36636
220001,0,1.75512
225001,0,0.912747
230001,0,0.293035
235001,1,1.42395
240001,1,0.45162
245001,1,0.174615
250001,2,0.19034
255001,1,0.827299
260001,1,0.436366
265001,0,0.840922
270001,2,0.698215
275001,1,1.53673
280001,0,0.0499364
285001,1,1.52079
290001,1,0.750219
295001,1,0.497663
300001,1,1.17539
305001,1,0.342146
310001,0,0.89023
315001,2,0.990348
320001,2,0.268794
325001,1,1.50143
330001,0,0.132906
335001,0,0.0931858
340001,1,2.4247
345001,0,0.258825
350001,0,0.674572
355001,0,0.0523265
360001,2,2.61912
365001,0,0.0524689
370001,0,0.73322
375001,0,0.0557648
380001,0,0.0703072
385001,2,0.849159
390001,0,2.77001
395001,2,0.785557
400001,0,0.0666491
405001,2,0.198994
410001,1,0.58261
415001,2,1.76799
420001,1,2.37069
425001,1,0.799329
430001,2,2.31079
435001,3,1.5903
440001,2,1.57756
445001,1,1.54108
450001,1,2.69187
455001,0,0.268481
460001,1,0.996774
465001,0,0.0136243
470001,0,0.657805
475001,2,3.01931
480001,1,0.472365
485001,1,2.65843
490001,0,0.0891405
495001,0,0.348277
500001,1,0.128301
505001,1,0.52581
510001,2,0.727516
515001,0,0.366661
520001,2,1.68987
525001,0,0.800936
530001,0,0.134222
535001,0,1.48757
540001,0,0.242548
545001,0,0.64267
550001,0,0.992219
555001,2,0.296091
560001,2,1.18083
565001,2,1.11952
570001,0,0.257032
575001,1,2.0442
580001,0,0.374886
585001,0,0.697193
590001,0,0.636717
595001,2,0.522568
600001,0,0.096187
605001,2,0.0593077
610001,0,0.765544
615001,0,0.562192
620001,0,2.18703
625001,0,0.0748122
630001,3,0.784177
635001,0,0.0748299
640001,0,0.25148
645001,0,0.458334
650001,1,1.58816
655001,0,0.588042
660001,1,0.951164
665001,2,0.0732917
670001,2,1.81339
675001,0,0.196754
680001,2,1.22118
685001,0,0.675357
690001,0,0.260193
695001,0,0.602071
700001,4,0.652771
705001,1,0.644127
710001,1,1.93072
715001,0,0.14359
720001,0,1.30424
725001,1,0.895872
730001,0,1.25233
735001,1,2.85521
740001,0,0.506509
745001,2,0.49193
750001,0,0.739449
755001,0,0.122808
760001,1,0.630507
765001,0,0.898444
770001,1,0.871928
775001,1,1.52766
780001,0,3.00048
785001,1,0.795078
790001,0,0.0715575
795001,1,1.0597
800001,0,0.0386578
805001,0,0.24525
810001,1,0.41135
815001,0,0.104554
820001,1,3.80867
825001,3,0.947115
830001,1,1.04678
835001,1,0.635103
840001,0,2.04686
845001,1,0.205146
850001,1,5.66166
855001,2,2.34221
860001,0,0.0115815
865001,2,0.46193
870001,1,2.29915
875001,0,0.249734
880001,1,0.355145
885001,1,0.602797
890001,2,0.877752
895001,0,0.0820709
900001,4,2.87337
905001,0,0.143518
910001,1,0.725092
915001,0,2.23298
920001,1,0.693499
925001,2,0.859732
