generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
1,24192,23871,0,0.032,0,0.005,0
5001,24192,23871,0,0.0165477,0,0.0144937,0
5001,21062,15389,51160.9,0.000754342,-8.9301e-06,0.000528664,0
5001,21062,16535,763.345,0.000288269,-5.45882e-06,0.000234393,0
5001,23511,24534,6417.17,0.000106009,-6.87499e-06,0.00022195,0
5001,19532,25330,14889.4,6.26196e-05,-5.15026e-07,0.000422718,0
5001,18951,25164,80998.1,0.000330415,-8.3152e-06,0.00111792,0
5001,20634,24678,72429.7,0.000171051,1.29102e-05,0.00134897,0
5001,24028,23525,7385.29,0.000184404,-3.15819e-06,0.000122802,0
5001,24572,25001,75309.4,0.000210435,-1.14845e-05,3.46386e-05,0
5001,25573,23474,2170.88,0.000169095,-7.32174e-06,3.39542e-05,0
5001,24954,24774,88884.2,1.90869e-05,-5.18953e-06,0.000425252,0
5001,20317,24744,80509.7,0.000108034,-1.29431e-05,0.000642493,0
5001,24328,NA,76366.1,8.18045e-05,-5.18594e-06,0.00113385,0
5001,22654,24786,84515.5,0.000311642,-1.16814e-05,0.00122499,0
5001,20385,NA,63885.7,0.000294146,-0.00339547,0.000418923,0
5001,25173,25346,95826.5,0.000373704,5.56083e-06,0.000427488,0
5001,23246,21322,44764.8,0.000230925,9.90351e-06,0.000650902,0
5001,25106,24826,70038.4,0.000466801,-1.49851e-05,0.000287657,0
5001,23621,23765,21624,0.000345655,-8.99882e-07,0.000428802,0
5001,20764,24597,78417.5,0.000649825,-1.12942e-05,0.00137904,0
5001,23185,24130,72721.9,0.000105438,-1.36567e-05,0.00066178,0
5001,22160,24507,50390.4,0.000284766,-3.72027e-06,0.000240541,0
5001,23080,24132,73792,0.000122922,-5.61446e-06,0.000188534,0
5001,24661,22253,42498.1,0.000298691,-1.62326e-05,0.000199109,0
5001,24624,25311,73665.3,0.000196271,-2.61498e-05,0.000154242,0
5001,25125,22818,76474.8,0.000418288,-1.6254e-06,0.000964272,0
5001,23813,23215,13806,0.000106244,-3.17375e-06,0.000241957,0
5001,24759,24090,25635,0.000224757,-5.98825e-06,0.000133969,0
5001,24245,NA,80654,5.90122e-05,-1.5654e-05,8.72258e-05,0
5001,23871,24921,14378.2,0.00014576,-8.16521e-06,0.000504333,0
5001,21628,21717,15489.3,0.000283676,8.93367e-07,0.000636889,0
5001,22109,24454,58838.4,0.000446482,1.97963e-06,0.000402717,0
5001,24846,23372,66256.2,0.000377602,2.6547e-06,0.00108288,0
10001,24192,23871,0,0.0164908,0,0.0144937,0
10001,22538,25624,64474,0.00010091,1.31346e-07,0.000515834,0
10001,23741,25468,80685.5,4.93767e-05,-8.9301e-06,0.000868375,0
10001,21062,16535,1021.18,0.000324156,-5.45882e-06,0.000220177,0
10001,23511,24534,3373.07,0.00011268,-6.87499e-06,0.000140037,0
10001,19532,25330,10444.7,0.000183082,-5.15026e-07,0.000422718,0
10001,18951,25164,80734,0.000132869,-8.3152e-06,0.000875251,0
10001,20634,24678,67290.5,0.000187531,1.29102e-05,0.00133548,0
10001,24705,24354,70728.2,7.34352e-05,1.08461e-05,0.000191632,0
10001,24705,22431,64473.3,6.65423e-06,-6.37928e-06,7.70136e-05,0
10001,21550,24028,1549.8,0.000142667,-3.15819e-06,0.000112069,0
10001,24954,24774,89973,0.000363796,6.81375e-06,0.00138944,0
10001,25007,NA,70562.6,7.26317e-05,-1.59885e-05,0.00135927,0
10001,24572,25001,59737,0.000268028,-1.14845e-05,0.000243033,0
10001,25573,24661,1439.03,0.000254264,-7.32174e-06,0.000158959,0
10001,24328,NA,75311.5,2.21616e-05,-5.18594e-06,0.000962561,0
10001,24220,24408,92233.3,7.00067e-05,-1.24965e-05,0.000251119,0
10001,22654,24786,83838.6,0.00042093,-1.16814e-05,0.000975469,0
10001,24636,NA,82210.4,6.30371e-05,-0.00751035,0.000237725,0
10001,20385,NA,65976.7,0.000126996,-0.00339547,0.000527657,0
10001,21686,25089,87494.5,5.90795e-05,0.00017139,0.00192453,0
10001,20317,24744,77465.7,0.000423535,-1.29431e-05,0.000635096,0
10001,25252,25173,73159.9,0.000460995,5.56083e-06,0.00121649,0
10001,25252,24648,39338.1,0.000756124,-1.78277e-05,0.000154925,0
10001,23246,21322,38858.9,0.000236169,9.90351e-06,0.000630214,0
10001,25183,24523,51160.4,0.000458899,-5.18953e-06,0.000560391,0
10001,25106,24826,54776.2,0.000237828,-1.49851e-05,0.000236893,0
10001,25245,24531,54855.8,8.79747e-05,-1.46035e-06,0.000234755,0
10001,23621,23765,9124.19,0.00035872,-8.99882e-07,0.000484702,0
10001,20764,24597,65416.6,0.000849053,-1.12942e-05,0.00150903,0
10001,21843,23068,30206.1,5.19971e-05,5.36146e-06,0.000347915,0
10001,23185,24130,64057.4,0.000151016,-1.36567e-05,0.001067,0
10001,22160,24507,48657.8,0.00039806,-3.72027e-06,0.000318085,0
10001,23080,24132,61473.9,0.000309759,-5.61446e-06,0.00122283,0
10001,24044,24862,90484.2,0.000293106,9.94231e-07,0.000141026,0
10001,24661,22253,35529.1,0.000314087,-1.62326e-05,0.000152401,0
10001,24624,24557,58479.5,0.000405665,-2.61498e-05,0.000246201,0
10001,25125,22818,75900.5,0.000646073,-1.6254e-06,0.000964272,0
10001,24759,24090,13272.9,0.000231524,-5.98825e-06,0.000286118,0
10001,24851,24723,95909.6,0.000276856,-1.3678e-05,0.000951691,0
10001,23813,23215,9473.89,0.000157084,-3.17375e-06,0.00021826,0
10001,18902,24928,4131.48,6.87588e-05,1.04393e-05,0.000137539,0
10001,22109,24454,56979.6,0.000143824,1.97963e-06,0.000975494,0
10001,23918,NA,64085.4,0.000222421,-0.00387406,0.000443251,0
10001,23871,24921,12239.9,0.000227774,-8.16521e-06,0.000508839,0
10001,21628,21717,12839.8,0.000285841,8.93367e-07,0.000556863,0
10001,24846,23372,51892.8,0.000279953,2.6547e-06,0.00106645,0
15001,24192,23871,0,0.0164908,0,0.0144937,0
15001,22538,25624,61983.6,0.00011389,1.31346e-07,0.00104323,0
