generation,N_shifts,eventRate
1530001,2,2.00359
1535001,1,0.107161
1540001,0,0.48554
1545001,0,0.193573
1550001,1,0.173318
1555001,0,0.949092
1560001,0,1.4182
1565001,0,0.194919
1570001,3,0.0155029
1575001,1,3.39502
1580001,0,0.0835441
1585001,0,0.187565
1590001,2,2.35511
1595001,1,1.16013
1600001,0,0.309992
1605001,3,2.83757
1610001,0,0.398694
1615001,1,1.002
1620001,0,2.1061
1625001,2,2.4576
1630001,0,0.377533
1635001,0,0.143085
1640001,5,5.63094
1645001,0,1.00822
1650001,0,0.371666
1655001,1,2.42915
1660001,0,0.117444
1665001,1,0.338915
1670001,0,0.406184
1675001,0,0.0697081
1680001,4,3.40284
1685001,0,0.0942354
1690001,1,1.5907
1695001,0,0.894795
1700001,1,0.478165
1705001,0,0.217248
1710001,2,4.40776
1715001,2,1.05103
1720001,0,0.904532
1725001,2,1.84015
1730001,1,0.755637
1735001,0,0.429751
1740001,1,1.26767
1745001,0,1.09758
1750001,0,0.327299
1755001,1,2.25362
1760001,1,2.06693
1765001,0,0.388481
1770001,1,1.02288
1775001,0,0.0758893
1780001,3,3.3744
1785001,0,0.00224783
1790001,1,0.782017
1795001,3,0.402629
1800001,1,0.553903
1805001,1,1.257
1810001,0,0.477703
1815001,1,1.72709
1820001,0,0.890613
1825001,1,0.652451
1830001,0,3.07461
1835001,2,0.509966
1840001,0,1.80944
1845001,2,0.715499
1850001,1,0.753123
1855001,1,0.294264
1860001,0,1.06343
1865001,0,0.131487
1870001,1,3.51147
1875001,3,2.17998
1880001,1,4.68683
1885001,3,0.0867928
1890001,1,0.600664
1895001,3,4.14576
1900001,1,0.883944
1905001,0,1.45539
1910001,0,0.37366
1915001,1,2.35375
1920001,0,0.957934
1925001,1,1.30043
1930001,0,0.14123
1935001,7,2.70388
1940001,2,2.20375
1945001,1,0.130154
1950001,0,0.276112
1955001,0,0.176843
1960001,1,1.06451
1965001,1,0.758819
1970001,0,0.292229
1975001,1,3.33231
1980001,0,0.154383
1985001,0,0.597137
1990001,0,0.0846958
1995001,0,1.22294
2000001,3,0.472567
2005001,0,0.0359563
2010001,2,0.475934
2015001,0,0.0268212
2020001,3,0.175094
2025001,1,2.10335
2030001,0,0.164506
2035001,0,0.266495
2040001,1,0.233472
2045001,2,0.861423
2050001,1,0.911153
2055001,0,0.802329
2060001,0,0.192637
2065001,1,0.47093
2070001,2,3.22739
2075001,0,0.376608
2080001,2,0.452821
2085001,0,1.05853
2090001,0,0.981955
2095001,2,1.43572
2100001,0,0.414424
2105001,2,0.503228
2110001,1,2.78721
2115001,0,0.0229415
2120001,2,1.03955
2125001,2,2.5346
2130001,0,0.684655
2135001,0,0.27501
2140001,0,0.510076
2145001,0,0.197947
2150001,0,0.996905
2155001,0,0.414675
2160001,1,3.13445
2165001,0,0.232391
2170001,1,1.3286
2175001,0,0.621767
2180001,1,1.15042
2185001,1,0.310722
2190001,1,2.06195
2195001,0,0.151569
2200001,1,0.714105
2205001,1,0.202036
2210001,2,2.87111
2215001,1,1.50307
2220001,1,0.766856
2225001,0,0.178885
2230001,0,0.123114
2235001,2,0.68183
2240001,1,0.831086
2245001,0,0.341565
2250001,2,0.537141
2255001,0,0.419658
2260001,1,1.44943
2265001,1,0.798414
2270001,1,0.26066
2275001,2,5.18221
2280001,0,0.0380854
2285001,0,0.306704
2290001,0,0.135018
2295001,0,0.243333
2300001,2,2.45096
2305001,1,2.19642
2310001,1,0.961548
2315001,2,0.874664
2320001,2,0.300806
2325001,0,1.0919
2330001,1,0.475038
2335001,2,0.580886
2340001,3,0.825686
2345001,1,1.32307
2350001,0,0.316135
2355001,3,0.550667
2360001,0,0.340692
2365001,2,0.255078
2370001,0,0.0815001
2375001,2,0.527044
2380001,1,0.671759
2385001,0,0.341399
2390001,0,1.59677
2395001,0,0.195606
2400001,1,2.65604
2405001,1,0.453361
2410001,2,0.479401
