generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1,0,-621.752,-305478,2.41094,1
5001,20,187.133,-8644.39,0.592523,0.424
10001,25,277.189,-8351.61,1.73887,0.386
15001,28,332.404,-8176.24,0.141344,0.366
20001,31,392.651,-7978.74,0.879542,0.372
25001,22,229.603,-7608.57,0.177102,0.418
30001,10,8.06007,-7569.72,2.18224,0.324
35001,9,-8.54712,-7548.45,0.610028,0.338
40001,3,52.7995,-7545.69,4.53538,0.289
45001,2,43.8572,-7547.23,0.0100672,0.346
50001,2,38.5885,-7543.22,1.84912,0.298
55001,1,22.5038,-7542.04,0.0911378,0.187
60001,3,59.1417,-7538.69,0.368845,0.268
65001,1,21.5088,-7536.9,0.384854,0.143
70001,1,22.1367,-7537.73,0.105923,0.152
75001,1,19.1502,-7535.23,2.77789,0.183
80001,1,20.4607,-7537.07,0.447725,0.179
85001,1,20.3559,-7535.8,1.04519,0.207
90001,1,21.5718,-7537.41,1.28132,0.279
95001,2,41.3427,-7536.66,0.150977,0.289
100001,1,21.1217,-7535.66,0.699401,0.137
105001,2,39.718,-7534.09,2.16755,0.147
110001,1,21.7346,-7532.84,0.0834169,0.391
115001,2,41.5707,-7532.6,0.40859,0.312
120001,1,21.1183,-7535.55,0.417823,0.15
125001,2,38.1713,-7535.1,0.129786,0.362
130001,2,41.1073,-7533.1,0.907369,0.227
135001,1,22.2693,-7533.95,0.0944547,0.179
140001,1,21.8092,-7535.18,0.142379,0.211
145001,1,21.9779,-7535.37,0.13693,0.152
150001,1,18.7887,-7535.5,1.82881,0.148
155001,1,21.4543,-7532.93,0.805217,0.173
160001,1,21.0809,-7533.14,1.05847,0.281
165001,1,20.6319,-7533.11,1.07982,0.236
170001,3,57.3262,-7532.93,1.34712,0.336
175001,1,22.2212,-7536.14,0.102672,0.165
180001,1,22.014,-7535.97,0.400831,0.228
185001,1,20.3905,-7535.37,1.5837,0.146
190001,1,21.0987,-7535.02,1.6746,0.189
195001,1,20.727,-7535.22,1.74143,0.234
200001,1,21.6506,-7533.42,0.303283,0.161
205001,3,59.6023,-7530.71,0.429252,0.32
210001,1,22.2161,-7544.05,0.820721,0.202
215001,1,23.2226,-7539.23,0.0671737,0.153
220001,1,21.0121,-7532.91,0.537047,0.151
225001,1,21.455,-7533.36,0.166996,0.185
230001,1,21.3238,-7533.39,0.326227,0.186
235001,2,41.0884,-7540.78,0.237617,0.367
240001,2,38.878,-7531.92,0.262691,0.187
245001,1,21.3664,-7533.76,0.037434,0.149
250001,1,17.9646,-7532.69,3.97867,0.226
255001,2,36.673,-7531.67,2.4178,0.293
260001,1,20.5025,-7533.31,1.18671,0.221
265001,2,37.9789,-7530.62,0.9,0.308
270001,1,21.9891,-7534.82,0.320477,0.167
275001,2,39.4477,-7534.6,1.38476,0.244
280001,1,21.6265,-7535.17,0.574477,0.183
285001,2,36.8132,-7534.22,0.818918,0.228
290001,1,18.9112,-7539.24,1.90255,0.156
295001,1,22.1739,-7533.67,0.0160975,0.19
300001,1,21.4955,-7535.03,0.898143,0.181
305001,1,18.7936,-7536.88,2.36752,0.219
310001,2,40.0785,-7536.17,0.64107,0.174
315001,2,39.9062,-7534.13,0.30577,0.319
320001,2,39.7187,-7533.94,0.577543,0.241
325001,1,21.3086,-7533.91,0.600197,0.169
330001,1,20.3573,-7534.03,0.842771,0.272
335001,2,40.2298,-7532.19,1.06762,0.205
340001,1,20.3323,-7534.52,1.36505,0.345
345001,2,39.1122,-7535.69,1.56391,0.189
350001,2,37.4585,-7535.25,2.67921,0.169
355001,1,20.9359,-7533.99,0.479899,0.262
360001,1,21.9653,-7533.59,0.493828,0.225
365001,1,20.5088,-7536.42,0.637147,0.19
370001,1,20.1007,-7538.25,0.627969,0.183
375001,1,21.8932,-7535.04,0.917135,0.289
380001,3,57.897,-7533.69,1.40494,0.199
385001,2,38.6248,-7533.4,2.91323,0.194
390001,1,21.932,-7533.96,0.323068,0.302
395001,1,22.1747,-7533.44,0.215987,0.292
400001,1,21.4578,-7533.46,0.453309,0.181
405001,2,38.0354,-7538.76,3.50862,0.201
410001,1,21.3355,-7533.24,0.35052,0.27
415001,1,21.1066,-7534.01,1.00155,0.187
420001,1,21.5881,-7533.11,0.366533,0.19
425001,1,20.5682,-7534.75,1.74248,0.159
430001,1,20.2022,-7533.55,1.80906,0.215
435001,2,38.7087,-7533.01,1.09154,0.267
440001,2,38.6262,-7532.91,0.341116,0.193
445001,3,55.3954,-7532.15,1.28947,0.192
450001,1,20.2925,-7534.92,0.521188,0.268
455001,3,58.7236,-7533.77,0.000224561,0.247
460001,1,20.9593,-7534.4,0.655768,0.225
465001,2,36.5683,-7538.48,3.4033,0.196
470001,1,21.4185,-7534.04,0.936112,0.223
475001,1,21.6432,-7533.41,0.309123,0.186
480001,4,74.4075,-7530.63,0.948662,0.354
485001,1,21.2865,-7535.26,1.44765,0.26
490001,1,21.7019,-7532.91,0.386392,0.28
