generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1,0,-620.341,-305478,1,0
5001,37,-390.358,-19816.7,1.36308,0.3948
10001,52,-124.895,-14548.1,3.02149,0.3714
15001,63,44.7323,-12154,2.11204,0.3542
20001,65,65.4929,-11309.9,3.40802,0.3236
25001,67,101.041,-10633,1.23534,0.3202
30001,72,193.874,-10095.3,0.219369,0.3058
35001,72,201.268,-9752.78,0.0161864,0.3082
40001,73,215.755,-9384.39,2.09576,0.326
45001,74,223.57,-9034.83,0.764203,0.3076
50001,74,239.542,-8940.04,0.321227,0.3206
55001,70,174.261,-8866.89,2.56011,0.3232
60001,70,173.036,-8832.26,2.39962,0.311
65001,66,107.188,-8679.25,0.381125,0.3128
70001,67,125.407,-8601.37,2.76992,0.3068
75001,66,106.012,-8536.2,1.37134,0.299
80001,66,113.09,-8483.47,1.58351,0.304
85001,67,137.683,-8428.16,0.418527,0.3038
90001,66,117.957,-8325.3,2.15886,0.308
95001,66,121.319,-8284.77,1.1308,0.316
100001,65,104.161,-8134.02,1.2799,0.3142
105001,64,85.4353,-8109.13,1.81954,0.3054
110001,63,67.8114,-8123.24,1.03669,0.3096
115001,63,69.2918,-8112.47,0.482799,0.3142
120001,63,66.0529,-8115.62,0.482249,0.2996
125001,64,78.7347,-8118.16,0.486797,0.2922
130001,62,43.8778,-8129.86,0.563035,0.3034
135001,61,19.4559,-8135.19,2.17013,0.2974
140001,60,-7.11802,-8136.87,0.725373,0.2896
145001,60,4.87173,-8117.81,1.42022,0.2934
150001,59,-6.03256,-8121.73,1.14721,0.2982
155001,59,-9.60446,-8094,0.646275,0.2874
160001,56,-50.2785,-8107.94,0.36801,0.3106
165001,56,-49.5156,-8092.13,2.10824,0.2916
170001,58,-21.663,-8034.97,0.709931,0.2976
175001,57,-36.2266,-8032.06,1.47716,0.305
180001,55,-68.9063,-7998.28,0.928627,0.2912
185001,57,-43.771,-7986.67,2.68736,0.2998
190001,56,-56.0121,-7991.65,1.72742,0.3018
195001,56,-55.4934,-7998.35,0.629307,0.2898
200001,55,-68.4509,-7991.1,0.396013,0.293
205001,55,-82.7743,-7982.42,0.544274,0.2946
210001,55,-79.3399,-7998.43,0.119512,0.2798
215001,55,-73.3044,-7991.13,0.122517,0.289
220001,55,-75.5589,-7985.77,3.10694,0.2836
225001,55,-73.3348,-7980.33,0.285573,0.2888
230001,55,-62.1789,-7989.73,0.00580555,0.3112
235001,54,-86.8557,-7983.73,0.187471,0.3022
240001,54,-92.3908,-7946.9,4.68745,0.3
