generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
1,1,2,0,0.032,0,0.005,0
5001,1,2,0,0.0565195,-0.000417467,0.00431347,0
10001,1,2,0,0.0580376,-0.000417467,0.00688801,0
10001,1070,6737,162.742,0.160995,-0.0278612,0.0414034,0
15001,1,2,0,0.0554951,-0.000417467,0.0032773,0
20001,1,2,0,0.0550649,-0.000417467,0.00432799,0
25001,1,2,0,0.0570763,-0.000411572,0.00592443,0
30001,1,2,0,0.0582882,-0.000569618,0.00547251,0
30001,146,9634,191.71,0.130071,0.195816,0.354684,0
35001,1,2,0,0.058938,-0.000613087,0.00632768,0
35001,2874,NA,195.573,0.106764,-0.0666933,0.72408,0
35001,4,1608,136.153,0.157143,0.00352734,0.221604,0
40001,1,2,0,0.0586372,-0.000613087,0.00416159,0
45001,1,2,0,0.0559824,-0.000613087,0.000527477,0
45001,3195,4760,175.811,0.112443,-0.0464844,0.172917,0
50001,1,2,0,0.0596985,-0.000613087,0.00609038,0
55001,1,2,0,0.0574339,-0.000613087,0.00273292,0
55001,1414,NA,183.538,0.128709,0.0236121,0.239276,0
60001,1,2,0,0.0557236,-0.000613087,0.00164829,0
60001,1013,5656,180.577,0.420239,-0.00999947,0.36718,0
65001,1,2,0,0.05655,-0.000613087,0.00185654,0
70001,1,2,0,0.0540003,-0.000400474,0.00195983,0
75001,1,2,0,0.0551053,-0.000400474,0.00304056,0
75001,197,9136,194.729,0.445588,0.0667889,0.0179583,0
75001,2838,NA,193.145,0.140444,0.00418454,0.258555,0
80001,1,2,0,0.055627,-0.000463587,0.0033595,0
85001,1,2,0,0.0562182,-0.000463587,0.00374255,0
85001,2544,NA,191.91,0.165484,-0.00243532,0.473633,0
90001,1,2,0,0.0539187,-0.000463587,0.00121122,0
95001,1,2,0,0.0548283,-0.000435125,0.00140817,0
95001,1085,6489,166.552,0.284868,-0.0438647,0.0889769,0
95001,3314,NA,195.532,0.0183416,-0.0191179,0.10189,0
100001,1,2,0,0.0554149,-0.000435125,0.00334037,0
100001,4856,NA,185.411,0.024375,0.0379388,0.0144948,0
100001,7871,NA,195.107,0.156316,-0.00135484,0.607256,0
105001,1,2,0,0.05564,-0.000435125,0.0019168,0
105001,45,NA,170.143,0.0136898,0.0095145,0.0250202,0
110001,1,2,0,0.0551624,-0.000348501,0.00294303,0
115001,1,2,0,0.0537061,-0.000348501,0.00241452,0
115001,6819,NA,193.257,0.488331,-0.005951,0.5001,0
115001,2113,NA,192.687,0.111975,-0.115307,0.0245621,0
120001,1,2,0,0.0553535,-0.000348501,0.00261659,0
