generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1,0,-1.63198,-39982.9,1,0
5001,0,-2.48856,-38918,1.30641,0.3182
10001,1,-2.70706,-38920.4,4.22008,0.3054
15001,0,-1.75799,-38917.6,0.623409,0.2822
20001,0,-1.68528,-38919.4,0.536379,0.3066
25001,0,-1.71684,-38918.5,0.48465,0.3408
30001,1,-4.40016,-38915.5,1.43864,0.3186
35001,2,-0.984869,-38914.5,1.31654,0.3526
40001,0,-1.46484,-38918.4,0.237313,0.3436
45001,1,-2.71512,-38922.4,3.92153,0.3392
50001,0,-1.78537,-38918.9,0.488823,0.3284
55001,1,-0.0974041,-38918.2,0.97441,0.3666
60001,1,-1.30134,-38916.5,0.345341,0.4732
65001,0,-1.99573,-38918.5,0.869597,0.3364
70001,0,-1.88143,-38918.5,0.811767,0.3208
75001,2,1.23657,-38916.4,0.860195,0.3938
80001,0,-1.24836,-38917.8,0.108838,0.2988
85001,1,-0.532783,-38917.7,0.209722,0.3076
90001,0,-1.09082,-38919.9,0.0403255,0.4122
95001,2,3.69255,-38919.2,0.335762,0.4526
100001,2,2.27105,-38918.1,0.347656,0.408
105001,1,0.714859,-38917.3,1.78236,0.3908
110001,0,-1.72557,-38918,0.606389,0.3726
115001,2,-0.271894,-38919.9,0.450272,0.3782
120001,0,-2.47521,-38918.9,1.35915,0.399
125001,1,-0.231109,-38917.8,1.58285,0.3186
130001,2,0.988614,-38920.4,0.305102,0.3276
135001,1,2.31754,-38919.9,0.114272,0.3418
140001,0,-4.56068,-38917.9,3.37551,0.3124
145001,1,-0.349594,-38918.5,0.373992,0.3484
150001,0,-1.77647,-38919,0.704266,0.3622
155001,1,1.19013,-38918.3,0.36026,0.3498
160001,0,-1.10197,-38919.4,0.00962716,0.3338
165001,0,-1.49557,-38918.1,0.324101,0.4016
170001,0,-2.78081,-38918.8,1.70421,0.3308
175001,0,-1.36821,-38919.1,0.265635,0.4342
180001,1,1.35445,-38917.9,0.502298,0.311
185001,1,1.2141,-38918.6,0.161328,0.325
190001,0,-2.71537,-38918.9,1.65135,0.3554
195001,0,-2.52429,-38918.6,1.41738,0.3386
200001,2,3.62532,-38919,0.308549,0.3592
205001,1,0.503029,-38917.4,0.386522,0.3392
210001,0,-4.44598,-38917.9,3.30991,0.3186
215001,0,-2.10389,-38917.8,0.938445,0.3652
220001,1,-0.240496,-38914.8,0.495909,0.388
225001,1,0.650314,-38920.5,0.256892,0.3382
230001,0,-1.7354,-38917.6,0.664753,0.3804
235001,0,-2.42339,-38917.8,1.38978,0.3476
240001,2,3.67958,-38918,0.518862,0.3398
245001,0,-1.11518,-38917.6,0.0662133,0.393
250001,0,-1.87115,-38918.8,0.822752,0.3426
255001,0,-2.25684,-38920.6,1.10418,0.344
260001,2,-0.0520006,-38917,0.350782,0.3692
265001,0,-1.246,-38918.4,0.223833,0.3598
270001,0,-1.6353,-38917.9,0.722396,0.2984
275001,1,-0.351656,-38917.9,2.15595,0.3354
280001,0,-2.61844,-38917.5,1.66804,0.3458
285001,2,0.775951,-38919.9,2.5941,0.3612
290001,1,1.21309,-38918,0.34225,0.349
295001,0,-1.62161,-38918,0.680659,0.3594
300001,2,2.0822,-38919.1,0.225386,0.3706
305001,0,-1.87525,-38919.4,0.996756,0.3646
310001,1,-0.505297,-38917.7,0.381846,0.4132
315001,0,-4.98985,-38917.7,4.11827,0.3694
320001,1,1.22447,-38919.3,0.389617,0.3448
325001,2,0.269786,-38915.1,2.50403,0.3654
330001,0,-2.53322,-38918,1.62548,0.373
335001,1,-0.0238236,-38917.1,1.14287,0.3394
340001,0,-1.49808,-38917.6,0.625685,0.3476
