generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1,0,-509.94,-1.98862e+006,1,0
10001,34,232.279,-44704.3,0.409057,0.3821
20001,68,831.924,-42999.5,0.684363,0.3814
30001,84,1137.02,-41399.4,0.354996,0.3914
40001,110,1615.13,-39849.3,0.246671,0.3856
50001,138,2117.2,-38275.3,0.236814,0.3924
60001,158,2461.52,-37402.5,3.12228,0.4002
70001,168,2652.41,-36919.7,0.0832569,0.3968
80001,180,2866.22,-36003.2,0.258105,0.3981
90001,190,3046.89,-35307.1,0.198312,0.3803
100001,198,3192.57,-34918.4,0.374256,0.386
110001,203,3293.79,-34498.6,0.626475,0.3807
120001,214,3481.59,-34119.1,2.89598,0.3806
130001,221,3605.42,-33797.7,0.0485987,0.3835
140001,226,3685.58,-33447.8,0.518898,0.3849
150001,235,3850.05,-32946.9,1.34653,0.3896
160001,238,3903.93,-32479.8,1.50247,0.3726
170001,239,3930.67,-32263.9,1.08556,0.3864
180001,240,3949.21,-32037.6,1.80016,0.379
190001,239,3920.92,-31791.5,3.49363,0.3754
200001,241,3960.19,-31598.8,0.000972008,0.3779
210001,243,3996.95,-31436.2,0.700346,0.3803
220001,248,4085.92,-31273.8,1.55665,0.3761
230001,250,4129.97,-31049.6,0.576213,0.3755
240001,254,4184.52,-30878,0.966378,0.3789
250001,255,4216.38,-30675,0.722109,0.3817
260001,258,4272.41,-30560.4,1.70122,0.3757
270001,259,4284.33,-30376.1,1.14709,0.3805
280001,256,4215.06,-30290.2,0.245007,0.3681
290001,259,4264.9,-30230.4,0.468844,0.3679
300001,258,4247.37,-30200.5,0.220742,0.361
310001,262,4312.68,-30072,0.785008,0.3696
320001,256,4223.65,-29956.5,2.75398,0.3566
330001,256,4214.58,-29978.8,1.02958,0.3625
340001,256,4218.59,-29904.8,0.0353719,0.3746
350001,256,4219.77,-29947.9,0.417372,0.3724
360001,256,4209.08,-29852.1,0.841791,0.3677
370001,256,4210.73,-29826.4,1.51758,0.3609
380001,256,4203.21,-29766.4,1.85858,0.372
390001,256,4213.78,-29715.2,1.2568,0.3779
400001,253,4155.11,-29688.7,2.74057,0.3651
410001,257,4243.03,-29552,0.863079,0.3622
420001,256,4206.89,-29465.2,2.42221,0.3615
430001,254,4169.93,-29481.9,4.03,0.3615
440001,252,4156.17,-29438.6,1.32217,0.3657
450001,254,4193.83,-29385.5,2.12174,0.368
460001,253,4170.04,-29372.2,0.186972,0.3579
470001,253,4159.15,-29334.3,2.94211,0.3612
480001,253,4165.16,-29320.8,1.6394,0.3517
490001,253,4154.03,-29296.8,2.93811,0.3596
500001,255,4195.87,-29212.3,2.33451,0.3575
510001,255,4213.16,-29198.3,0.342505,0.3562
520001,253,4185.04,-29127.7,0.462489,0.3656
530001,252,4163.14,-29126.8,0.185591,0.3588
540001,250,4128.69,-29130.3,1.93364,0.3622
550001,248,4095.67,-29065.3,3.21041,0.3669
560001,246,4075.32,-29081.1,0.835848,0.363
570001,246,4047.48,-29050.3,0.133441,0.3595
580001,247,4074.02,-29031.5,0.716051,0.3515
590001,246,4054.63,-29039.4,2.27692,0.3642
600001,246,4060.39,-29012.5,0.468851,0.3615
610001,246,4084.1,-29039.9,1.19147,0.3643
620001,244,4047.27,-29024.6,0.45373,0.3603
630001,244,4031.11,-28983.7,0.188266,0.3621
640001,242,3992.93,-28992.3,1.4302,0.3684
650001,242,4006.5,-28983.7,1.35548,0.3586
660001,244,4039.51,-28987.9,0.037273,0.3625
670001,243,4021.81,-28966.8,0.272041,0.3563
