generation,N_shifts,eventRate
3040001,21,42.1046
3050001,31,12.4111
3060001,35,51.1832
3070001,23,26.1458
3080001,36,4.49417
3090001,16,32.3052
3100001,34,86.0524
3110001,18,14.7457
3120001,26,10.6621
3130001,41,29.3496
3140001,50,17.4251
3150001,35,42.4284
3160001,47,14.9302
3170001,15,0.761273
3180001,35,115.218
3190001,42,16.9413
3200001,27,23.0442
3210001,22,75.931
3220001,26,44.3704
3230001,43,152.138
3240001,40,22.9555
3250001,36,70.7584
3260001,35,152.024
3270001,23,45.0643
3280001,14,139.064
3290001,39,3.28352
3300001,29,4.18303
3310001,15,69.1675
3320001,23,33.5705
3330001,38,62.4535
3340001,27,91.4512
3350001,39,98.1936
3360001,19,114.389
3370001,42,164.75
3380001,29,95.1257
3390001,27,66.2858
3400001,27,139.814
3410001,41,56.5339
3420001,34,36.1362
3430001,42,20.4563
3440001,40,182.749
3450001,51,41.816
3460001,34,122.521
3470001,35,0.605879
3480001,26,16.9071
3490001,31,67.4524
3500001,39,55.979
3510001,40,22.8209
3520001,47,14.0952
3530001,38,154.436
3540001,44,5.94436
3550001,33,97.501
3560001,12,23.6708
3570001,47,83.8039
3580001,45,71.1398
3590001,13,2.05476
3600001,30,138.984
3610001,14,0.778312
3620001,37,65.4465
3630001,32,42.3079
3640001,28,49.4969
3650001,41,3.84639
3660001,25,23.3291
3670001,42,8.88684
3680001,41,33.8836
3690001,23,25.8022
3700001,38,27.074
3710001,21,7.54793
3720001,24,66.724
3730001,46,0.460417
3740001,36,45.084
3750001,45,9.48883
3760001,28,13.4199
3770001,41,36.2618
3780001,35,16.8598
3790001,39,102.962
3800001,19,3.92882
3810001,25,156.917
3820001,43,8.93589
3830001,17,5.53351
3840001,18,136.354
3850001,33,114.251
3860001,17,0.787971
3870001,28,114.21
3880001,13,4.72961
3890001,33,148.368
3900001,35,215.795
3910001,9,5.70813
3920001,27,28.3425
3930001,22,17.2205
3940001,48,31.4526
3950001,46,14.7042
3960001,30,3.20098
3970001,41,133.007
3980001,39,85.5698
3990001,48,27.8844
4000001,15,16.0361
4010001,28,22.219
4020001,31,90.503
4030001,14,22.8613
4040001,35,83.9074
4050001,29,28.3182
4060001,25,8.79226
4070001,45,20.6352
4080001,15,86.671
4090001,24,58.5987
4100001,32,50.0007
4110001,49,103.533
4120001,38,10.9575
4130001,4,5.78149
4140001,34,99.0837
4150001,48,27.1509
4160001,29,31.1566
4170001,38,161.394
4180001,27,84.0113
4190001,36,12.4619
4200001,20,64.3426
4210001,36,31.6426
4220001,36,74.9071
4230001,15,8.72725
4240001,33,6.57807
4250001,51,38.9744
4260001,40,34.9651
4270001,32,4.27203
4280001,18,36.3639
4290001,31,78.1934
4300001,29,77.2452
4310001,40,60.6413
4320001,51,72.3567
4330001,34,68.9806
4340001,43,56.4258
4350001,38,18.2157
4360001,18,13.8817
4370001,39,108.343
4380001,38,96.0001
4390001,43,49.9078
4400001,37,54.765
4410001,36,48.9028
4420001,26,8.26626
4430001,44,22.267
4440001,31,2.0383
4450001,31,212.6
4460001,16,13.715
4470001,33,33.5685
4480001,13,24.679
4490001,18,34.0225
4500001,38,134.982
4510001,33,14.8298
4520001,24,81.97
4530001,41,63.3308
4540001,33,83.5207
4550001,44,13.5036
4560001,29,70.1392
4570001,34,114.097
4580001,26,88.7941
4590001,38,10.1488
4600001,61,114.774
4610001,41,33.4612
4620001,11,27.0365
4630001,63,40.8723
4640001,35,0.683833
4650001,41,11.0321
4660001,38,26.9121
4670001,27,35.7744
4680001,33,57.1813
4690001,29,37.4381
4700001,23,34.3656
4710001,36,62.7268
4720001,55,21.627
4730001,42,120.914
4740001,40,45.8516
4750001,45,47.9178
4760001,27,75.3912
4770001,36,100.504
4780001,36,38.1675
4790001,37,58.8681
4800001,42,9.69312
4810001,35,32.1626
4820001,38,63.9586
4830001,28,6.26883
4840001,20,24.5168
4850001,21,92.9313
4860001,22,35.9351
4870001,26,9.59093
4880001,24,50.5771
4890001,23,10.3071
4900001,17,6.28096
4910001,28,172.112
4920001,42,21.6597
4930001,36,20.3397
4940001,25,32.3836
4950001,20,17.7531
4960001,24,6.49826
4970001,24,63.2489
4980001,30,54.4766
4990001,31,50.1422
5000001,26,78.4787
5010001,30,22.6775
5020001,35,6.01586
5030001,45,67.5971
5040001,16,15.0147
5050001,25,7.62992
5060001,33,38.6898
5070001,16,15.7929
5080001,28,42.0479
5090001,40,32.9101
5100001,36,95.1856
5110001,20,14.9999
5120001,46,2.14226
5130001,32,91.6246
5140001,26,17.4884
5150001,19,91.1158
5160001,55,145.786
5170001,30,12.2139
5180001,45,14.506
5190001,41,189.561
5200001,37,72.9969
5210001,43,52.2453
5220001,20,10.1119
5230001,22,17.5876
5240001,32,1.01625
5250001,17,104.317
5260001,25,0.201199
5270001,25,347.561
5280001,33,4.06707
5290001,49,2.74396
5300001,37,7.03759
5310001,27,18.9545
5320001,27,107.109
5330001,36,1.71346
5340001,41,73.814
5350001,37,23.8705
5360001,37,21.3385
5370001,33,24.0617
5380001,40,15.4296
5390001,26,5.63593
5400001,8,0.214969
5410001,21,9.52835
5420001,30,111.967
5430001,22,14.8721
5440001,36,148.801
5450001,20,98.686
5460001,35,32.6176
5470001,40,22.281
5480001,33,13.6755
5490001,41,79.4606
5500001,26,77.4002
5510001,36,36.3986
5520001,35,29.7057
5530001,44,159.404
5540001,41,23.8416
5550001,29,33.8208
5560001,26,21.8697
5570001,33,1.97048
5580001,34,23.1365
5590001,44,61.2256
5600001,24,3.28362
5610001,31,25.6821
5620001,38,96.1085
5630001,33,47.8984
5640001,36,45.9784
5650001,26,23.9525
5660001,27,2.24646
5670001,49,1.77738
5680001,21,12.0941
5690001,40,17.3808
5700001,37,36.4835
5710001,43,26.8696
5720001,46,0.533959
5730001,37,77.2764
5740001,34,3.32191
5750001,32,38.7974
5760001,35,25.5052
5770001,9,53.9265
5780001,12,5.57831
5790001,49,51.6717
5800001,32,12.8709
5810001,29,3.49637
5820001,36,24.5635
5830001,21,89.5735
5840001,35,55.1372
5850001,44,38.2508
5860001,41,8.92687
5870001,44,301.198
5880001,22,1.86329
5890001,27,20.1619
5900001,35,139.143
5910001,29,50.8972
5920001,27,27.0559
5930001,22,5.64184
5940001,26,8.84596
5950001,42,12.3976
5960001,33,29.2835
5970001,48,21.1392
5980001,21,6.12321
5990001,39,65.5761
6000001,26,1.31033
6010001,32,16.3296
6020001,56,53.5898
6030001,35,30.5844
6040001,27,147.149
6050001,32,56.5065
6060001,29,69.7681
6070001,44,17.4469
6080001,53,35.7432
6090001,22,26.7882
6100001,24,7.94618
6110001,28,55.9787
6120001,36,65.6527
6130001,42,19.3785
6140001,41,75.3279
6150001,31,3.47474
6160001,26,93.5434
6170001,40,507.517
6180001,36,9.08658
6190001,28,65.1466
6200001,32,91.2683
6210001,29,46.3935
6220001,30,127.085
6230001,30,6.4373
6240001,24,1.06742
6250001,43,13.1448
6260001,37,5.33112
6270001,27,5.07753
6280001,25,23.1399
6290001,37,64.6283
6300001,28,11.8117
6310001,43,58.001
6320001,50,127.354
6330001,28,5.5786
6340001,18,11.9039
6350001,40,148.707
6360001,34,50.4743
6370001,48,19.8978
6380001,25,15.7491
6390001,24,23.6843
6400001,40,38.515
6410001,32,188.737
6420001,42,76.9996
6430001,32,39.0485
6440001,45,34.8995
6450001,34,136.309
6460001,24,4.00013
6470001,13,14.4864
6480001,31,28.9116
6490001,28,17.1153
6500001,46,33.2542
6510001,36,518.395
6520001,39,81.8831
6530001,38,79.1292
6540001,30,27.1516
6550001,29,263.021
6560001,32,41.7372
6570001,35,19.0422
6580001,22,13.2104
6590001,41,7.80945
6600001,32,26.7437
6610001,29,21.334
6620001,23,28.5241
6630001,29,128.368
6640001,38,63.5072
6650001,41,10.332
6660001,30,11.3583
6670001,42,16.3117
6680001,43,7.81536
6690001,22,88.559
6700001,20,44.4183
6710001,43,8.23979
6720001,41,39.7042
6730001,35,53.3726
6740001,31,66.3893
6750001,27,109.389
6760001,27,6.49309
6770001,35,71.893
6780001,37,229.587
6790001,38,132.585
6800001,21,30.766
6810001,23,21.3875
6820001,44,6.14207
6830001,35,69.3819
6840001,40,54.8913
6850001,46,6.31383
6860001,41,30.3337
6870001,18,88.0958
6880001,28,40.2526
6890001,24,136.675
6900001,30,71.5395
6910001,50,11.2993
6920001,42,42.646
6930001,45,10.043
6940001,48,200.305
6950001,37,21.9117
6960001,32,28.7025
6970001,40,14.2206
6980001,22,47.6756
6990001,36,29.5695
7000001,31,49.0303
7010001,34,4.58697
7020001,23,27.9404
7030001,45,108.507
7040001,42,69.6316
7050001,21,1.0527
7060001,41,14.7468
7070001,41,23.6546
7080001,38,2.76929
7090001,33,46.845
7100001,35,14.934
7110001,25,122.181
7120001,26,6.65024
7130001,34,73.604
7140001,34,216.778
7150001,38,18.489
7160001,42,99.5276
7170001,39,102.993
7180001,44,9.07767
7190001,38,9.56568
7200001,37,48.2815
7210001,23,38.8761
7220001,39,127.069
7230001,30,75.9627
7240001,32,18.3759
7250001,28,47.7484
7260001,28,63.901
7270001,40,79.2882
7280001,37,33.8558
7290001,32,4.59795
7300001,32,18.7099
7310001,45,50.2501
7320001,38,67.293
7330001,36,30.7042
7340001,20,3.18539
7350001,36,3.84839
7360001,37,41.4039
7370001,35,19.3142
7380001,44,27.2288
7390001,32,14.1367
7400001,43,56.119
7410001,26,5.09187
7420001,25,30.801
7430001,38,37.0533
7440001,26,5.87138
7450001,33,13.7987
7460001,18,36.1743
7470001,25,8.86217
7480001,29,13.5461
7490001,22,135.381
7500001,41,100.437
7510001,38,25.4675
7520001,34,52.4485
7530001,35,34.1105
7540001,44,6.62837
7550001,25,2.9849
7560001,19,8.06382
7570001,45,4.41113
7580001,39,43.6016
7590001,35,16.5904
7600001,30,16.3596
7610001,36,95.0224
7620001,38,85.0676
7630001,46,114.03
7640001,26,23.0711
7650001,40,126.108
7660001,19,25.096
7670001,23,14.3644
7680001,37,76.4747
7690001,25,44.9722
7700001,23,6.86283
7710001,31,46.1616
7720001,24,18.7275
7730001,36,21.2763
7740001,34,15.7637
7750001,32,9.01989
7760001,44,131.731
7770001,36,55.9958
7780001,21,16.3341
7790001,36,40.5746
7800001,47,99.2285
7810001,26,28.4533
7820001,36,90.1211
7830001,21,8.30763
7840001,32,62.0308
7850001,35,51.6307
7860001,28,2.39048
7870001,36,45.2096
7880001,24,117.961
7890001,31,52.8091
7900001,43,69.827
7910001,47,50.9731
7920001,38,32.2828
7930001,38,38.4199
7940001,35,32.8027
7950001,43,278.124
7960001,30,13.4892
7970001,19,160.584
7980001,36,34.414
7990001,27,2.59192
8000001,51,40.4801
8010001,36,17.0163
8020001,42,8.67126
8030001,38,58.6249
8040001,26,33.0775
8050001,37,59.7129
8060001,26,22.6352
8070001,33,26.13
8080001,33,28.393
8090001,35,31.5393
8100001,35,0.558776
8110001,29,88.6188
8120001,36,111.55
8130001,46,54.7638
8140001,43,77.0332
8150001,36,35.9929
8160001,30,32.7966
8170001,49,170.798
8180001,31,15.0492
8190001,31,5.8976
8200001,27,106.73
8210001,39,42.2591
8220001,34,99.1112
8230001,31,59.6022
8240001,31,15.5871
8250001,51,15.4462
8260001,26,16.7836
8270001,45,1.03267
8280001,30,26.5666
8290001,30,39.61
8300001,46,52.7128
8310001,34,51.3487
8320001,44,16.1977
8330001,34,28.641
8340001,51,15.5795
8350001,29,15.7887
8360001,20,24.9293
8370001,38,172.589
8380001,39,151.05
8390001,40,170.493
8400001,30,248.739
8410001,43,43.6108
8420001,23,38.7919
8430001,37,80.2585
8440001,30,53.0768
8450001,28,48.7776
8460001,30,97.8603
8470001,43,111.325
8480001,35,36.1035
8490001,32,24.578
8500001,13,4.0259
8510001,21,8.57873
8520001,47,65.5552
8530001,28,46.0972
8540001,29,35.4239
8550001,37,0.266785
8560001,23,86.8657
8570001,34,38.1086
8580001,30,56.9394
8590001,27,55.9801
8600001,34,55.5078
8610001,26,13.1033
8620001,31,20.506
8630001,41,27.4341
8640001,34,27.4437
8650001,36,105.848
8660001,30,16.4544
8670001,27,40.7901
8680001,48,101.391
8690001,37,22.3364
8700001,43,19.062
8710001,39,85.8778
8720001,36,34.0515
8730001,36,53.9933
8740001,15,88.4044
8750001,44,115.344
8760001,25,51.1566
8770001,50,69.0768
8780001,28,105.059
8790001,17,35.1758
8800001,17,6.91552
8810001,26,52.2437
8820001,37,68.2192
8830001,29,101.332
8840001,49,35.4895
8850001,30,68.7366
8860001,46,5.49377
8870001,32,6.54672
8880001,19,14.9963
8890001,20,0.310174
8900001,10,70.0686
8910001,27,18.136
8920001,47,62.3547
8930001,32,121.169
8940001,35,15.4016
8950001,30,67.8701
8960001,34,34.7793
8970001,14,78.8764
8980001,29,34.439
8990001,31,103.293
9000001,29,39.3567
9010001,16,9.62063
9020001,47,2.73881
9030001,37,112.253
9040001,40,19.4101
9050001,25,50.5509
9060001,15,244.301
