generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
1,24192,23871,0,0.032,0,0.005,0
5001,24192,23871,0,0.0310334,0,0.0309787,0
5001,22576,25258,68973.3,0.000200115,-4.34011e-06,0.00026939,0
5001,21823,24398,59424.3,7.24628e-05,1.99502e-06,7.69203e-05,0
5001,19532,25330,80854.8,0.000293093,-1.81716e-07,0.000676875,0
5001,25106,23794,43191.1,0.000279412,-1.75823e-06,0.00022754,0
5001,25083,NA,99955.4,2.63586e-05,0.00200144,0.000238652,0
5001,22576,25258,62720.8,0.000207687,0.000390327,0.000544048,0
5001,21144,25125,226.144,4.76243e-05,1.07074e-05,6.58713e-05,0
5001,23677,24083,93998.1,0.000401939,4.74023e-06,0.000740842,0
5001,24899,NA,92506.8,0.000297235,1.15829e-05,0.000275567,0
5001,23813,18902,735.145,7.8684e-05,-7.48893e-06,2.97587e-05,0
5001,23871,24921,16831.2,7.58799e-05,-3.94634e-06,0.000124567,0
10001,24192,23871,0,0.0310334,0,0.0309787,0
10001,21062,25314,63977.8,0.000122903,1.45862e-05,0.000194256,0
10001,25403,25244,96495.7,0.000261121,-0.000468003,0.00010135,0
10001,19532,25330,92881.6,9.0997e-05,-1.81716e-07,0.000698374,0
10001,22361,17203,125.621,4.28737e-05,1.07074e-05,6.7794e-05,0
10001,24192,19532,14.8623,0.000241062,-7.48893e-06,0.00014034,0
10001,21211,NA,80380.3,0.000417418,-0.00518643,6.4279e-05,0
10001,22294,24899,83140.2,0.000270873,1.15829e-05,0.000639769,0
15001,24192,23871,0,0.0310224,0,0.0309787,0
15001,24192,19532,57.7142,0.000298376,-7.48893e-06,0.000180858,0
15001,22361,22294,101.814,2.6854e-05,1.07074e-05,2.24168e-05,0
15001,22294,24899,83473.5,0.000329428,1.15829e-05,0.000413031,0
15001,24620,NA,92672.1,5.76965e-05,9.31835e-06,0.000400731,0
20001,24192,23871,0,0.000436772,8.98521e-05,0.000229268,0
20001,16535,25391,85913,0.000281782,-1.14868e-06,0.000509808,0
20001,25345,24787,73895.7,0.000403675,1.40907e-06,0.00043718,0
20001,24192,19532,50.1966,0.000322291,-7.48893e-06,0.00019251,0
20001,23871,24921,5840.78,0.000220337,-4.68068e-06,0.000197144,0
20001,22361,22294,101.814,2.15051e-05,1.07074e-05,8.88577e-06,0
25001,24192,23871,0,1.44769e-05,-0.00987915,4.30168e-06,0
