generation,N_shifts,logPrior,logLik,eventRate,acceptRate
615001,4,66.9334,-26056.3,0.677217,0.2352
620001,4,66.4004,-26057.3,0.64232,0.2658
625001,5,80.7642,-26055.3,1.76063,0.2898
630001,4,65.081,-26061.6,0.278475,0.2654
635001,6,98.1054,-26057.9,0.894052,0.2616
640001,4,67.2701,-26056.9,0.0400611,0.2672
645001,4,67.0348,-26054.6,0.414599,0.2552
650001,6,91.3648,-26053.7,0.33314,0.2746
655001,4,64.569,-26052,1.65068,0.3058
660001,6,96.4602,-26050.7,0.884785,0.3038
665001,5,80.7016,-26043.6,0.14158,0.342
670001,6,97.8541,-26046.3,0.431316,0.3074
675001,4,66.8187,-26052.6,0.153357,0.2958
680001,4,65.3255,-26053.3,0.647879,0.2632
685001,4,64.4839,-26054.8,1.66527,0.271
690001,6,95.9905,-26057.2,0.696605,0.2654
695001,5,83.9111,-26050,0.171175,0.3046
700001,7,110.957,-26047.8,0.254392,0.2832
705001,6,93.8041,-26048,1.69968,0.2782
710001,4,63.9054,-26042.4,1.19089,0.2698
715001,4,63.5387,-26048.1,4.26107,0.2744
720001,4,64.0451,-26047.4,0.264363,0.2676
725001,5,76.5008,-26046.9,0.221926,0.2486
730001,4,65.291,-26050.5,0.203221,0.2718
735001,5,80.834,-26052,0.603644,0.242
740001,4,61.5229,-26047.2,0.732405,0.2702
745001,4,64.9639,-26051.2,0.917209,0.2486
750001,5,76.6463,-26048.9,2.39855,0.2482
755001,4,63.5904,-26051.4,0.366757,0.2842
760001,4,65.6083,-26046,0.153648,0.2584
765001,5,81.2161,-26050.5,0.265708,0.2686
770001,5,80.7201,-26046.5,0.251621,0.2734
775001,5,77.2004,-26048,0.056473,0.2818
780001,6,92.7946,-26045.9,0.17777,0.2942
785001,4,62.3318,-26045.1,0.594331,0.2686
790001,4,67.4742,-26046,0.208628,0.251
795001,4,65.4255,-26044.3,0.665895,0.2818
800001,6,89.614,-26045.6,2.74273,0.2818
805001,6,94.384,-26045.7,0.258639,0.262
810001,5,81.8831,-26039.1,0.542727,0.2766
815001,5,82.9225,-26035.6,0.430054,0.26
820001,5,79.6231,-26034.2,1.26372,0.2912
825001,5,83.9367,-26035.6,0.587344,0.284
830001,5,81.6312,-26035.9,1.34862,0.2896
835001,5,79.5041,-26036.3,0.514886,0.2922
840001,5,79.3196,-26036.2,5.25096,0.296
845001,6,95.6067,-26034.3,0.0545239,0.2878
850001,7,107.415,-26033.8,1.37848,0.302
855001,5,83.6623,-26035.9,0.0891091,0.292
860001,7,114.93,-26030.7,0.253017,0.2992
865001,5,79.5209,-26039.2,3.81094,0.2736
870001,5,83.2893,-26044.9,0.0261539,0.2912
875001,4,67.2617,-26057.1,0.065928,0.3144
880001,4,66.1946,-26056.3,0.381923,0.2706
885001,4,64.4417,-26053.3,0.320633,0.2862
890001,5,81.0434,-26044.5,0.294087,0.2632
895001,4,62.7252,-26045.6,1.46652,0.2744
900001,4,62.3046,-26042.3,5.05919,0.2774
905001,4,61.844,-26048.3,1.0282,0.2632
910001,4,63.7832,-26047.8,3.27002,0.2774
915001,5,78.1662,-26044.3,2.48404,0.258
920001,5,81.7789,-26041.3,0.589546,0.2794
925001,4,63.5797,-26047.9,1.61593,0.2604
930001,5,79.9852,-26041.9,0.743875,0.269
935001,4,65.4331,-26045.2,1.16156,0.2698
940001,4,66.1071,-26045,1.25352,0.2746
945001,6,94.7763,-26041.8,3.53074,0.2678
950001,4,61.904,-26041.8,5.49589,0.259
955001,4,67.1621,-26047.1,0.946727,0.2556
960001,5,80.3458,-26043.9,0.462883,0.2716
965001,4,64.0895,-26044.5,1.01571,0.2588
970001,6,100.903,-26043,0.699076,0.2684
975001,6,99.0764,-26042.3,0.0780044,0.297
980001,4,68.513,-26043.7,0.070491,0.2782
985001,4,68.0537,-26044.8,0.850059,0.2576
990001,5,77.5583,-26039.9,0.692538,0.2708
995001,7,109.162,-26046.1,3.75113,0.2874
1000001,4,67.6614,-26056.5,0.0872308,0.2652
1005001,4,66.9969,-26052.3,0.648018,0.2648
1010001,4,66.3419,-26053,0.265402,0.2698
1015001,4,67.7035,-26047,0.128772,0.2804
1020001,5,67.7129,-26045.1,2.47488,0.2752
1025001,4,64.5279,-26044.3,1.17622,0.2632
1030001,4,65.0556,-26045,0.181073,0.2764
1035001,4,66.9152,-26044.3,0.0358931,0.3052
1040001,4,62.7377,-26046.3,1.98974,0.2612
1045001,4,65.118,-26045.6,0.317721,0.2744
1050001,4,66.1154,-26044.3,0.404218,0.2666
1055001,4,66.4357,-26044.4,0.0911999,0.2878
1060001,4,66.9937,-26051.5,0.618311,0.2762
1065001,4,61.9262,-26053.8,0.263954,0.2472
1070001,4,64.9907,-26048.4,3.14615,0.269
1075001,4,68.392,-26048.2,0.368002,0.3018
1080001,4,64.2649,-26045.6,2.19011,0.264
1085001,4,65.8492,-26045.6,2.04211,0.2532
1090001,4,61.3201,-26048.7,6.32587,0.2558
1095001,5,77.9984,-26047.5,0.243644,0.2638
1100001,4,63.2325,-26052.3,4.41311,0.2782
1105001,4,66.2777,-26049,1.40239,0.2482
1110001,4,66.09,-26046.4,0.155395,0.2592
1115001,4,62.9339,-26052,0.6228,0.267
1120001,6,97.606,-26053.9,0.839714,0.2516
1125001,5,79.3238,-26050,0.284528,0.2824
1130001,5,83.3161,-26044.9,0.0428234,0.2984
1135001,4,66.0581,-26046.5,0.936903,0.2622
1140001,6,99.3404,-26047.1,0.0305059,0.293
1145001,5,82.0767,-26047.3,0.977535,0.2906
1150001,4,65.7556,-26041.4,0.192799,0.2488
1155001,5,81.3423,-26045.1,0.888079,0.2538
1160001,5,81.8153,-26044.1,0.376806,0.2688
1165001,5,76.87,-26045.5,0.576448,0.2908
1170001,4,66.0178,-26043.4,1.0752,0.2712
1175001,5,81.1977,-26047.1,0.124227,0.2872
1180001,4,60.2913,-26043.4,0.745018,0.2624
1185001,5,82.2874,-26044.3,0.51359,0.2712
1190001,6,96.6284,-26040,0.398648,0.2918
1195001,5,80.9255,-26043.9,0.297245,0.292
1200001,5,78.834,-26046.5,4.3984,0.3074
1205001,4,64.2827,-26046.6,1.04288,0.2692
1210001,5,78.6675,-26044.3,0.813851,0.2636
1215001,4,65.2514,-26041.4,2.16855,0.2822
1220001,4,66.9758,-26042.8,0.42674,0.2522
1225001,4,66.2619,-26043.8,0.9369,0.2564
1230001,6,95.7389,-26040.8,0.91416,0.272
1235001,4,64.3149,-26047.3,0.236814,0.2642
1240001,5,80.9049,-26043.6,0.460812,0.254
1245001,8,127.588,-26040.1,1.38051,0.2838
1250001,5,83.6813,-26044.9,0.238807,0.312
