"spp.name","region","extant","env.opt","time.of.origin","time.of.extinction","time.of.sp.origin","reg.env","carry.cap","reg.alpha","time.of.sp.extinction"
11336,2,0,3.93348891033003,87191,87199,12104,7.27272727272727,22000,1.9e-06,93972
11469,2,1,6.74345106581282,12210,32095,12210,7.27272727272727,22000,1.9e-06,32095
11469,3,0,6.74345106581282,20952,20957,12210,10.9090909090909,22000,2.8e-06,32095
11493,1,0,3.10585118671346,58883,63024,12229,3.63636363636364,22000,1e-06,63024
11493,1,1,3.10585118671346,12229,31497,12229,3.63636363636364,22000,1e-06,63024
11515,1,1,3.38190828968639,12246,32620,12246,3.63636363636364,22000,1e-06,32620
11524,3,1,10.855240975112,12254,47788,12254,10.9090909090909,22000,2.8e-06,47788
11524,4,0,10.855240975112,16996,16997,12254,14.5454545454545,22000,3.7e-06,47788
11531,1,1,3.37492044904875,12258,48216,12258,3.63636363636364,22000,1e-06,48216
11554,2,0,3.27072004269727,12297,12791,12283,7.27272727272727,22000,1.9e-06,100001
11554,1,1,3.27072004269727,12283,100001,12283,3.63636363636364,22000,1e-06,100001
11568,2,1,7.41047174564159,12293,33398,12293,7.27272727272727,22000,1.9e-06,33398
11602,4,1,14.5895057062953,12317,39722,12317,14.5454545454545,22000,3.7e-06,39722
11608,7,1,25.4097430125504,12319,35130,12319,25.4545454545455,22000,6.4e-06,35130
11733,1,1,3.95286006977756,12407,57302,12407,3.63636363636364,22000,1e-06,57302
11738,2,1,7.54436063241282,12415,37519,12415,7.27272727272727,22000,1.9e-06,37519
11743,2,1,7.24525845706246,12421,46084,12421,7.27272727272727,22000,1.9e-06,46084
11751,2,1,7.67106267672352,12426,35155,12426,7.27272727272727,22000,1.9e-06,35155
11751,3,0,7.67106267672352,23236,23278,12426,10.9090909090909,22000,2.8e-06,35155
11829,2,1,7.05939301874195,12485,46947,12485,7.27272727272727,22000,1.9e-06,46947
11945,5,1,17.546371619013,12573,31483,12573,18.1818181818182,22000,4.6e-06,31483
11962,1,1,3.1091067159626,12583,63955,12583,3.63636363636364,22000,1e-06,63955
11969,4,1,14.7123305139647,12590,32970,12590,14.5454545454545,22000,3.7e-06,32970
11991,6,1,21.9193165377029,12603,33777,12603,21.8181818181818,22000,5.5e-06,33777
11999,1,1,3.53688580218922,12610,66577,12610,3.63636363636364,22000,1e-06,66577
11999,2,0,3.53688580218922,14388,14543,12610,7.27272727272727,22000,1.9e-06,66577
12191,2,1,7.95061741774616,12756,36948,12756,7.27272727272727,22000,1.9e-06,36948
