generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1,0,-149.508,-509102,1,0
2001,10,-51.6751,-34991.4,1.24456,0.437
4001,18,70.8838,-30216.1,0.882826,0.432
6001,10,-46.2503,-28266.6,0.584745,0.417
8001,6,-108.946,-26917.2,1.02629,0.374
10001,4,-142.686,-26701.2,1.37037,0.335
12001,4,-142.202,-26645.4,0.337867,0.339
14001,4,-146.191,-26633.2,4.56447,0.303
16001,4,-142.141,-26597.1,0.167559,0.299
18001,4,-148.352,-26583.4,6.88708,0.31
20001,3,-158.007,-26454,0.742976,0.197
22001,4,-143.114,-26445.9,1.81148,0.236
24001,4,-141.994,-26441.2,0.330069,0.267
26001,4,-142.715,-26438.1,0.00594259,0.25
28001,5,-127.355,-26434.3,0.12542,0.292
30001,4,-142.844,-26434.7,0.65824,0.28
32001,5,-127.509,-26435.2,0.933357,0.276
34001,3,-157.348,-26443.7,0.42494,0.205
36001,4,-142.497,-26440.5,0.292961,0.282
38001,3,-156.969,-26428.5,0.788821,0.197
40001,4,-143.56,-26408.8,1.71346,0.227
42001,4,-139.789,-26378.1,0.309676,0.261
44001,5,-123.819,-26369.3,0.114127,0.341
46001,7,-97.9898,-26297.2,1.72912,0.302
48001,4,-142.938,-26281.2,2.57908,0.294
50001,4,-141.251,-26277.1,1.40453,0.28
52001,4,-141.651,-26281.9,1.42935,0.232
54001,4,-140.443,-26280.9,0.262105,0.268
56001,4,-140.302,-26277.1,1.057,0.243
58001,8,-79.0982,-26269.7,0.29797,0.377
60001,5,-125.314,-26266.1,0.894296,0.296
62001,6,-109.756,-26268.5,0.383586,0.31
64001,5,-125.067,-26261.9,1.25702,0.288
66001,5,21.1266,-26251.9,0.466842,0.261
68001,7,113.677,-26254.3,0.442497,0.397
70001,5,82.2588,-26250.4,0.885895,0.319
72001,5,84.0735,-26256.4,1.13609,0.339
74001,5,81.9282,-26263.3,0.987045,0.287
76001,5,82.2458,-26256.4,1.08007,0.339
78001,4,67.659,-26254.3,1.64062,0.274
80001,5,82.4461,-26254.8,0.110293,0.29
82001,4,62.9447,-26253.9,0.799136,0.303
84001,4,68.7685,-26263.3,0.63934,0.307
86001,6,98.4067,-26255.5,0.584373,0.352
88001,5,80.4124,-26254,3.87196,0.337
90001,4,66.0295,-26256,0.270412,0.307
92001,4,69.488,-26251.9,0.300015,0.276
94001,5,80.0358,-26251.7,3.53169,0.362
96001,5,83.9934,-26250.5,1.02554,0.345
98001,4,66.5447,-26251,1.94363,0.324
100001,5,84.6376,-26247.2,0.752206,0.313
102001,4,67.8971,-26251.1,1.58497,0.321
104001,4,62.7855,-26249.1,2.19712,0.271
106001,4,70.3439,-26251.4,0.0926613,0.375
108001,4,69.4381,-26250.2,0.153907,0.323
110001,4,68.3582,-26254.9,1.09653,0.288
112001,4,67.7796,-26252.2,0.273766,0.295
114001,5,85.2062,-26252.8,0.151697,0.331
116001,4,67.9803,-26249,0.208863,0.334
118001,4,67.0154,-26249.2,0.0852049,0.32
120001,4,69.9266,-26250.1,0.342078,0.293
122001,4,67.6995,-26252.9,0.385198,0.315
124001,4,65.3219,-26252.3,2.31128,0.333
126001,5,84.0181,-26253.9,1.36095,0.333
128001,4,68.0149,-26249.5,1.45196,0.296
130001,4,68.6084,-26251.8,0.0416416,0.341
132001,6,100.936,-26252.7,0.775955,0.338
134001,4,67.7239,-26249.8,1.37859,0.346
136001,4,68.902,-26255.4,0.816745,0.36
138001,4,65.5482,-26252.6,4.08489,0.337
140001,4,68.7474,-26250.6,0.277512,0.302
142001,4,67.7493,-26258.6,0.356647,0.3
144001,5,86.187,-26252.1,1.0472,0.331
146001,4,64.6665,-26259.6,0.898723,0.34
148001,4,68.4024,-26251.7,0.377829,0.3
150001,4,68.7708,-26254.5,0.81974,0.302
152001,4,69.0411,-26252.6,0.158771,0.309
154001,5,84.1365,-26255.6,0.746677,0.291
156001,4,68.1193,-26251.4,0.542402,0.331
158001,4,69.3837,-26255.8,0.0466672,0.322
160001,4,65.2874,-26255.1,2.53668,0.307
162001,4,68.8413,-26258,0.0867569,0.309
164001,4,67.1304,-26253.1,1.70828,0.289
166001,4,68.3132,-26255.4,1.00933,0.337
168001,4,68.4416,-26258.3,0.389567,0.342
170001,5,82.7277,-26250.1,1.54522,0.352
172001,5,80.5225,-26251.8,1.72228,0.321
174001,4,67.3583,-26257.1,0.0903862,0.32
176001,6,99.412,-26250.2,1.12066,0.378
178001,6,102.133,-26222.7,0.0284079,0.415
180001,4,68.5312,-26218.8,0.251203,0.315
